site,time,Abies,Alnus,Amaranthaceae,Ambrosia,Anacardaceae,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Bursera,Campanulaceae,Caryophyllaceae,Celastra,Cupressaceae,Eriogonum,Euphorbiaceae,Fabaceae,Lamiaceae,Moraceae,Opuntia,Pinus,Poaceae,Polygonaceae,Quercus,Rhamnaceae,Rosaceae,Rubiaceae,Ulmus
tehuan54,16511,0,0.034615385,0.007692308,0.011538462,0.011538462,0,0.003846154,0.046153846,0.003846154,0,0.015384615,0,0,0,0.065384615,0.007692308,0.011538462,0.015384615,0,0.015384615,0,0.503846154,0.084615385,0,0.126923077,0.003846154,0.023076923,0.003846154,0.003846154
tehuan55,16673,0,0.018867925,0.003773585,0,0.00754717,0,0,0.033962264,0,0.003773585,0,0,0,0.003773585,0.075471698,0,0.003773585,0,0.003773585,0.018867925,0,0.686792453,0.026415094,0,0.101886792,0.00754717,0.003773585,0,0
tehuan56,16838,0,0.029962547,0.014981273,0.003745318,0.011235955,0,0,0.011235955,0,0,0,0.003745318,0,0.003745318,0.04494382,0.003745318,0,0.003745318,0,0.011235955,0.007490637,0.715355805,0.02247191,0,0.108614232,0,0.003745318,0,0
tehuan57,16998,0,0.010948905,0.01459854,0,0.003649635,0,0.010948905,0.02189781,0,0,0.003649635,0,0,0,0.04379562,0,0.003649635,0,0,0.010948905,0,0.704379562,0.047445255,0.003649635,0.109489051,0.003649635,0.003649635,0.003649635,0
tehuan58,17160,0,0.003690037,0.014760148,0,0.011070111,0,0,0.025830258,0.007380074,0,0,0,0.003690037,0,0.077490775,0,0,0.003690037,0.007380074,0.007380074,0,0.656826568,0.066420664,0,0.103321033,0,0.011070111,0,0
tehuan59,17322,0.007246377,0.010869565,0.003623188,0,0.003623188,0,0,0.025362319,0.003623188,0,0.003623188,0,0.007246377,0,0.054347826,0.003623188,0,0.003623188,0.003623188,0.014492754,0,0.699275362,0.039855072,0,0.108695652,0.003623188,0.003623188,0,0
tehuan60,17717,0,0.022304833,0.007434944,0,0,0,0,0.018587361,0,0.003717472,0,0,0,0.003717472,0.040892193,0.007434944,0,0,0.003717472,0.007434944,0,0.605947955,0.107806691,0,0.152416357,0,0.018587361,0,0
tehuan61,18112,0.007575758,0.018939394,0.022727273,0.003787879,0.003787879,0,0.003787879,0.007575758,0,0.003787879,0,0,0,0,0.045454545,0.003787879,0,0,0,0.003787879,0,0.640151515,0.106060606,0.007575758,0.113636364,0,0.003787879,0.003787879,0
tehuan62,18507,0,0.026217228,0.014981273,0,0,0,0,0.018726592,0,0.003745318,0,0.003745318,0,0.003745318,0.052434457,0.003745318,0.007490637,0,0,0.003745318,0.003745318,0.640449438,0.071161049,0,0.138576779,0,0.007490637,0,0
tehuan63,18902,0,0.010989011,0.029304029,0,0,0,0.003663004,0.021978022,0,0.003663004,0,0.010989011,0,0,0.054945055,0,0.003663004,0.007326007,0,0.014652015,0,0.600732601,0.058608059,0,0.164835165,0,0.014652015,0,0
tehuan64,19296,0,0.015151515,0.007575758,0,0.003787879,0,0,0.022727273,0.003787879,0.003787879,0,0,0,0.011363636,0.018939394,0,0.003787879,0,0.003787879,0.007575758,0,0.715909091,0.083333333,0.003787879,0.090909091,0,0.003787879,0,0
