site,time,Alnus,Amaranthaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Micranthes,Phlox,Picea,Plantago,Poaceae,Polygonaceae,Potentilla,Ranunculaceae,Rhododendron,Salix,Saxifragaceae
hanging86,17488,0.111940299,0.003731343,0.01119403,0.01119403,0.184701493,0.005597015,0.001865672,0.020522388,0.013059701,0,0.001865672,0.080223881,0.020522388,0.138059701,0,0,0,0.001865672,0.393656716,0
hanging87,17739,0.144522145,0.006993007,0.025641026,0.013986014,0.174825175,0.006993007,0.004662005,0.023310023,0.009324009,0,0,0.114219114,0.011655012,0.202797203,0,0.004662005,0,0.004662005,0.251748252,0
hanging88,17996,0.054669704,0.013667426,0.150341686,0.034168565,0.059225513,0.009111617,0.009111617,0.009111617,0.027334852,0.002277904,0,0.029612756,0.041002278,0.291571754,0,0.002277904,0,0,0.266514806,0
hanging89,18258,0.097560976,0.013937282,0.097560976,0.017421603,0.156794425,0.003484321,0.003484321,0.024390244,0.038327526,0,0,0.066202091,0.031358885,0.233449477,0,0.010452962,0,0.003484321,0.202090592,0
hanging90,18527,0.070689655,0.005172414,0.079310345,0.003448276,0.094827586,0.006896552,0.003448276,0.024137931,0.013793103,0,0,0.037931034,0.037931034,0.510344828,0.001724138,0.003448276,0,0,0.106896552,0
hanging91,18802,0.166439291,0.005457026,0.077762619,0.006821282,0.326057299,0.013642565,0.002728513,0.017735334,0.008185539,0,0,0.05047749,0.020463847,0.246930423,0.002728513,0.005457026,0.001364256,0.001364256,0.045020464,0.001364256
hanging92,19084,0.169950739,0,0.110837438,0,0.386699507,0.024630542,0.004926108,0.034482759,0.002463054,0,0,0.130541872,0.004926108,0.10591133,0,0.002463054,0,0.004926108,0.017241379,0
hanging93,19372,0.104395604,0.010989011,0.200549451,0.002747253,0.167582418,0.008241758,0,0.016483516,0.008241758,0,0,0.118131868,0.019230769,0.299450549,0.002747253,0.013736264,0,0,0.027472527,0
hanging94,19667,0.144373673,0,0.101910828,0.004246285,0.333333333,0.014861996,0.002123142,0.025477707,0.016985138,0.006369427,0.002123142,0.152866242,0.014861996,0.142250531,0,0.004246285,0.002123142,0.002123142,0.029723992,0
hanging95,19817,0.135501355,0.009485095,0.138211382,0.008130081,0.299457995,0.013550136,0.001355014,0.017615176,0.004065041,0,0.001355014,0.162601626,0.013550136,0.166666667,0,0,0,0.004065041,0.024390244,0
hanging96,19968,0.151869159,0.004672897,0.119158879,0.002336449,0.273364486,0.014018692,0.002336449,0.018691589,0.01635514,0,0,0.189252336,0.018691589,0.147196262,0,0.004672897,0,0.004672897,0.03271028,0
hanging97,20276,0.179422836,0.005018821,0.112923463,0.005018821,0.322459222,0.013801757,0.00250941,0.025094103,0.005018821,0.001254705,0,0.125470514,0.015056462,0.156838143,0.001254705,0.00250941,0,0.005018821,0.021329987,0
hanging98,20591,0.065217391,0.019762846,0.312252964,0.005928854,0.090909091,0.033596838,0,0.003952569,0.023715415,0.001976285,0.007905138,0.019762846,0.015810277,0.359683794,0.005928854,0.009881423,0,0,0.023715415,0
hanging99,20913,0.091872792,0.007067138,0.208480565,0.007067138,0.141342756,0.024734982,0.007067138,0,0.042402827,0,0.003533569,0.056537102,0.014134276,0.342756184,0.003533569,0.003533569,0,0,0.045936396,0
hanging100,21242,0.127423823,0.005540166,0.149584488,0.005540166,0.337950139,0.022160665,0.005540166,0.011080332,0.027700831,0,0,0.096952909,0.016620499,0.155124654,0.005540166,0,0,0.002770083,0.030470914,0
hanging101,21578,0.198421646,0.011273957,0.117249154,0.011273957,0.322435175,0.022547914,0.002254791,0.012401353,0.004509583,0.001127396,0,0.101465614,0.006764374,0.169109357,0.003382187,0.001127396,0,0.001127396,0.013528749,0
hanging102,21921,0.047511312,0.018099548,0.242081448,0.011312217,0.074660633,0.047511312,0,0.009049774,0.024886878,0.002262443,0.002262443,0.015837104,0.022624434,0.450226244,0.002262443,0.002262443,0,0,0.027149321,0
hanging103,22095,0.027586207,0.012068966,0.34137931,0.015517241,0.044827586,0.05,0.003448276,0.003448276,0.031034483,0.003448276,0.005172414,0.022413793,0.006896552,0.386206897,0.012068966,0.003448276,0,0,0.031034483,0
hanging104,22629,0.072222222,0.038888889,0.127777778,0.013888889,0.188888889,0.036111111,0,0.011111111,0.008333333,0,0.008333333,0.086111111,0.008333333,0.338888889,0,0.005555556,0.002777778,0,0.052777778,0
hanging105,22994,0.017241379,0.013409962,0.210727969,0.007662835,0.061302682,0.08045977,0.003831418,0.011494253,0.009578544,0,0.005747126,0.022988506,0.024904215,0.490421456,0,0.005747126,0,0,0.034482759,0
hanging106,23367,0.076131687,0.028806584,0.144032922,0.016460905,0.092592593,0.059670782,0.002057613,0.012345679,0.00617284,0.002057613,0,0.032921811,0.016460905,0.452674897,0.008230453,0.008230453,0,0,0.041152263,0
hanging107,23748,0.091111111,0.042222222,0.12,0.013333333,0.155555556,0.062222222,0,0.013333333,0.002222222,0,0.008888889,0.102222222,0.011111111,0.34,0,0.002222222,0,0,0.035555556,0
hanging108,24136,0.10787172,0.037900875,0.10787172,0.005830904,0.177842566,0.064139942,0,0,0.005830904,0,0.005830904,0.078717201,0.017492711,0.367346939,0,0.005830904,0,0,0.017492711,0
hanging109,24531,0.090909091,0.018595041,0.130165289,0.01446281,0.16322314,0.064049587,0.002066116,0.006198347,0.002066116,0,0.008264463,0.074380165,0.018595041,0.378099174,0,0.002066116,0,0,0.026859504,0
hanging110,24935,0.086956522,0.030100334,0.10367893,0.02006689,0.217391304,0.163879599,0.010033445,0.010033445,0.006688963,0,0.003344482,0.133779264,0.006688963,0.180602007,0,0,0,0,0.026755853,0
hanging111,25347,0.094674556,0.014792899,0.127218935,0.020710059,0.316568047,0.00591716,0.00295858,0.00591716,0.00295858,0.00591716,0.00887574,0.073964497,0,0.298816568,0,0,0,0,0.020710059,0
hanging112,25767,0.072327044,0.025157233,0.15408805,0.01572327,0.185534591,0.078616352,0.003144654,0.006289308,0,0,0.003144654,0.081761006,0.006289308,0.355345912,0.003144654,0.003144654,0,0,0.006289308,0
hanging113,26194,0.023323615,0.04664723,0.189504373,0.020408163,0.075801749,0.145772595,0.002915452,0,0.002915452,0,0.002915452,0.026239067,0.002915452,0.416909621,0,0,0,0,0.043731778,0
hanging114,26630,0.015432099,0.092592593,0.182098765,0.024691358,0.080246914,0.151234568,0,0.00308642,0.00308642,0,0.018518519,0.046296296,0.00617284,0.37037037,0,0,0,0,0.00617284,0
hanging115,27075,0.015576324,0.087227414,0.230529595,0.024922118,0.102803738,0.127725857,0.003115265,0.009345794,0,0.003115265,0,0.074766355,0.003115265,0.289719626,0,0,0,0.003115265,0.024922118,0
hanging116,27528,0.021505376,0.086021505,0.261648746,0.017921147,0.086021505,0.100358423,0.003584229,0,0.003584229,0,0.007168459,0.043010753,0.003584229,0.347670251,0.003584229,0,0,0,0.014336918,0
hanging117,27989,0.039660057,0.07082153,0.362606232,0.033994334,0.067988669,0.079320113,0.002832861,0.008498584,0,0,0.011331445,0.019830028,0.002832861,0.257790368,0,0.002832861,0,0,0.039660057,0
hanging118,28459,0.031161473,0.059490085,0.416430595,0.019830028,0.079320113,0.104815864,0.005665722,0.005665722,0,0,0.014164306,0.042492918,0.005665722,0.195467422,0,0,0,0,0.019830028,0
hanging119,28937,0.014084507,0.084507042,0.346478873,0.028169014,0.076056338,0.107042254,0.005633803,0,0,0.002816901,0.008450704,0.025352113,0.011267606,0.264788732,0,0.005633803,0,0,0.01971831,0
hanging120,29424,0.025454545,0.083636364,0.236363636,0.043636364,0.105454545,0.116363636,0.007272727,0,0.003636364,0,0.010909091,0.054545455,0,0.283636364,0,0.003636364,0,0,0.025454545,0
hanging121,29921,0.029585799,0.071005917,0.284023669,0.035502959,0.082840237,0.109467456,0,0.00887574,0,0,0.00591716,0.044378698,0,0.310650888,0,0,0,0.00295858,0.014792899,0
hanging122,30426,0.03313253,0.063253012,0.231927711,0.021084337,0.105421687,0.123493976,0,0.03313253,0,0,0.006024096,0.024096386,0,0.343373494,0,0,0,0.003012048,0.012048193,0
hanging123,30940,0.024096386,0.057228916,0.28313253,0.039156627,0.075301205,0.11746988,0.006024096,0.003012048,0,0,0.009036145,0.048192771,0,0.319277108,0,0,0,0.003012048,0.015060241,0
hanging124,31463,0.024734982,0.088339223,0.268551237,0.028268551,0.081272085,0.169611307,0,0,0.007067138,0,0.007067138,0.017667845,0,0.28975265,0,0.003533569,0,0,0.014134276,0
hanging125,31995,0.017301038,0.117647059,0.325259516,0.024221453,0.055363322,0.162629758,0,0,0,0,0.010380623,0.044982699,0.006920415,0.204152249,0,0.006920415,0,0,0.024221453,0
hanging126,32536,0.011363636,0.090909091,0.309090909,0.031818182,0.084090909,0.115909091,0,0,0.004545455,0,0.013636364,0.018181818,0.006818182,0.304545455,0,0,0,0,0.009090909,0
hanging127,33087,0.030640669,0.061281337,0.247910864,0.025069638,0.066852368,0.13091922,0,0,0,0,0.005571031,0.027855153,0.005571031,0.367688022,0,0.002785515,0,0,0.025069638,0.002785515
hanging128,33648,0.071428571,0.065934066,0.252747253,0.016483516,0.131868132,0.164835165,0.016483516,0,0,0,0.021978022,0.049450549,0,0.203296703,0,0,0,0,0.005494505,0
hanging129,34797,0.06741573,0.041198502,0.183520599,0.033707865,0.172284644,0.101123596,0.003745318,0,0.007490637,0,0.011235955,0.071161049,0,0.29588015,0.003745318,0,0,0,0.007490637,0
hanging130,36288,0.07112069,0.023706897,0.172413793,0.019396552,0.215517241,0.086206897,0,0.006465517,0.002155172,0,0.002155172,0.081896552,0,0.3125,0,0,0,0,0.006465517,0
hanging131,37841,0.075242718,0.019417476,0.191747573,0.019417476,0.237864078,0.094660194,0.007281553,0,0.004854369,0,0.004854369,0.077669903,0,0.254854369,0,0,0,0,0.012135922,0
hanging132,39457,0.047263682,0.037313433,0.243781095,0.024875622,0.179104478,0.082089552,0.002487562,0.009950249,0,0,0.004975124,0.059701493,0.002487562,0.288557214,0,0,0,0,0.017412935,0
hanging133,41138,0.067114094,0.046979866,0.224832215,0.030201342,0.184563758,0.10738255,0.003355705,0.010067114,0,0,0.003355705,0.080536913,0,0.231543624,0,0,0,0.003355705,0.006711409,0
