site,time,Abies,Acer,Alnus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Betula,Carya,Corylus,Cupressaceae,Fagaceae,Fraxinus,Gentianaceae,Juglans,Ostrya,Picea,Pinus,Poaceae,Polemoniaceae,Polygonaceae,Populus,Pseudotsuga,Quercus,Ranunculaceae,Rosaceae,Salix,Saxifragaceae,Thalictrum,Tilia,Tsuga heterophylla,Ulmus
hansen23,11920,0.017730496,0,0.007092199,0,0.031914894,0.039007092,0.003546099,0.024822695,0.003546099,0.031914894,0,0,0.15248227,0,0,0.053191489,0.386524823,0.088652482,0.014184397,0,0,0.003546099,0,0.113475177,0,0,0,0,0.003546099,0,0,0.024822695
hansen24,12128,0.025362319,0.007246377,0.018115942,0.007246377,0.050724638,0.02173913,0,0.050724638,0.003623188,0.025362319,0,0,0.192028986,0,0,0.039855072,0.297101449,0.028985507,0.028985507,0,0,0.003623188,0,0.144927536,0,0,0.007246377,0,0.014492754,0,0,0.032608696
hansen25,12452,0.020689655,0,0.006896552,0.006896552,0.048275862,0.027586207,0,0.013793103,0.013793103,0.013793103,0,0,0.131034483,0,0.003448276,0.010344828,0.448275862,0.075862069,0.024137931,0,0,0.006896552,0,0.120689655,0.003448276,0,0,0,0,0,0,0.024137931
hansen26,12764,0.021201413,0.010600707,0.007067138,0,0.028268551,0.010600707,0.010600707,0.021201413,0.007067138,0.007067138,0,0.003533569,0.169611307,0,0,0.014134276,0.487632509,0.03180212,0.049469965,0,0,0,0,0.106007067,0,0,0.007067138,0,0,0,0,0.007067138
hansen27,12969,0.018450185,0,0.011070111,0,0.040590406,0.044280443,0.003690037,0.007380074,0,0.007380074,0,0,0.151291513,0.003690037,0,0.022140221,0.472324723,0.029520295,0.095940959,0,0,0,0,0.05904059,0.003690037,0,0.018450185,0,0,0,0,0.011070111
hansen28,13468,0.028985507,0,0.028985507,0.003623188,0.047101449,0.054347826,0.007246377,0.003623188,0,0.007246377,0,0,0.010869565,0,0,0.043478261,0.543478261,0.086956522,0.032608696,0,0,0,0,0.061594203,0.010869565,0.003623188,0.014492754,0.003623188,0,0,0,0.007246377
hansen29,14471,0.024822695,0,0.046099291,0.003546099,0.017730496,0.088652482,0.007092199,0.014184397,0.010638298,0.003546099,0,0,0.067375887,0,0,0.010638298,0.471631206,0.138297872,0.017730496,0,0,0.003546099,0.003546099,0.060283688,0.003546099,0,0.003546099,0,0.003546099,0,0,0
hansen30,15494,0.027237354,0.003891051,0.038910506,0.023346304,0.031128405,0.167315175,0.003891051,0.007782101,0,0.003891051,0,0.003891051,0.035019455,0,0,0.003891051,0.470817121,0.085603113,0.035019455,0,0,0.007782101,0,0.031128405,0.007782101,0,0.003891051,0,0.007782101,0,0,0
hansen31,16503,0.016666667,0,0.045833333,0,0.020833333,0.091666667,0.0125,0.008333333,0,0.020833333,0,0,0.025,0,0,0.008333333,0.454166667,0.158333333,0.041666667,0,0,0,0.008333333,0.058333333,0.0125,0,0,0.004166667,0.008333333,0,0,0.004166667
hansen32,17708,0.016326531,0,0.028571429,0.004081633,0,0.089795918,0.004081633,0.004081633,0,0.012244898,0,0,0.008163265,0,0,0.040816327,0.608163265,0.097959184,0.012244898,0,0,0.016326531,0,0.040816327,0,0,0.012244898,0,0.004081633,0,0,0
