site,time,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Papaver,Pedicularis,Phlox,Picea,Pinus,Plantago,Poaceae,Polemoniaceae,Polygonaceae,Populus,Potentilla,Ranunculaceae,Rosaceae,Rumex,Salix,Sanguisorba,Sarcobatus vermiculatus,Thalictrum
zagoskin73,23348,0.007490637,0.003745318,0,0,0.093632959,0.014981273,0.003745318,0.007490637,0.037453184,0.003745318,0,0,0.003745318,0,0.029962547,0.003745318,0,0.644194757,0,0.003745318,0,0.003745318,0.007490637,0,0,0.048689139,0.003745318,0.014981273,0.063670412
zagoskin74,23687,0.011278195,0.007518797,0,0,0.097744361,0.018796992,0.003759398,0,0.015037594,0.007518797,0,0,0.003759398,0.007518797,0.003759398,0.007518797,0.033834586,0.710526316,0,0.003759398,0,0,0.011278195,0,0,0.022556391,0.003759398,0.003759398,0.026315789
zagoskin75,24026,0,0.003703704,0,0,0.103703704,0.018518519,0.003703704,0,0.007407407,0,0,0,0,0.007407407,0.007407407,0,0.003703704,0.788888889,0,0,0,0,0.018518519,0,0.003703704,0.011111111,0.003703704,0.003703704,0.014814815
zagoskin76,24396,0.003703704,0.007407407,0.003703704,0.003703704,0.1,0.022222222,0.022222222,0.014814815,0.018518519,0,0.003703704,0,0,0.003703704,0.003703704,0.014814815,0.011111111,0.611111111,0.003703704,0,0,0.003703704,0.02962963,0,0.007407407,0.062962963,0.003703704,0,0.044444444
zagoskin77,24767,0,0.003759398,0,0,0.078947368,0.018796992,0.003759398,0,0.015037594,0,0,0,0,0,0,0,0,0.808270677,0,0,0,0,0.003759398,0,0,0.022556391,0,0.011278195,0.033834586
zagoskin78,25109,0.007379801,0.007379801,0.0000369,0,0.073798015,0.018449504,0.007379801,0.003689901,0.007379801,0,0,0,0,0.007379801,0.003689901,0,0.014759603,0.74535995,0,0,0,0.003689901,0.011069702,0,0,0.070108114,0,0,0.018449504
zagoskin79,25450,0,0.003623188,0,0.003623188,0.130434783,0.039855072,0.043478261,0.007246377,0.036231884,0,0,0,0,0.003623188,0.014492754,0,0.010869565,0.612318841,0,0.003623188,0.02173913,0.003623188,0.010869565,0,0.010869565,0.02173913,0.003623188,0,0.018115942
zagoskin80,25627,0.010032774,0.003344258,0.006688516,0.006688516,0.113704769,0.006688516,0.013377032,0.013377032,0.013377032,0.010032774,0.006688516,0,0,0.0000334,0.003344258,0.006688516,0,0.729048224,0,0.0000334,0,0.003344258,0.006688516,0,0,0.026754063,0,0,0.020065547
zagoskin81,25802,0.003690037,0.003690037,0,0.003690037,0.129151292,0.018450185,0.007380074,0.003690037,0.033210332,0.007380074,0,0,0,0.003690037,0,0,0.011070111,0.708487085,0.003690037,0,0,0,0,0,0,0.029520295,0,0.003690037,0.029520295
zagoskin82,25961,0.003860706,0.003860706,0.003860706,0.003860706,0.115821172,0.003899313,0.011582117,0.007721411,0.007721411,0,0.003860706,0.003860706,0,0.003860706,0.0000386,0,0.019303529,0.73353409,0,0.003860706,0,0.003860706,0.011582117,0,0.003860706,0.034746352,0,0,0.015442823
zagoskin83,26119,0.003174603,0.003174603,0,0.003174603,0.13968254,0.019047619,0.012698413,0.00952381,0.022222222,0.003174603,0,0,0,0.003174603,0.006349206,0,0.022222222,0.688888889,0.003174603,0,0,0.003174603,0.006349206,0,0.003174603,0.022222222,0,0.006349206,0.019047619
zagoskin84,26271,0.000035,0,0,0,0.097898675,0.010489144,0.013985525,0.017481906,0.010489144,0,0.013985525,0,0,0.003496381,0.003496381,0.010489144,0.020978287,0.720254537,0,0,0,0,0.020978287,0,0,0.038460194,0,0,0.017481906
zagoskin85,26423,0.003267974,0,0,0,0.202614379,0.029411765,0.003267974,0.003267974,0.019607843,0,0,0,0,0.013071895,0,0,0.019607843,0.637254902,0.003267974,0,0,0,0.006535948,0,0,0.04248366,0,0.003267974,0.013071895
zagoskin86,26582,0.00308642,0.00617284,0.00308642,0.00617284,0.086419753,0.037037037,0.00617284,0.009259259,0.024691358,0,0.00308642,0,0,0.00308642,0.00617284,0.00617284,0.015432099,0.725308642,0,0,0,0,0.015432099,0,0.012345679,0.012345679,0,0,0.018518519
