"","YrBP","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Liliaceae","Picea","Pinus","Plantago","Poaceae","Polygonaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Saxifragaceae"
"tita38",37000,0.0285099709835393,0.0122438864498272,0,0.084803973002226,0.0854714046700252,0.0369128934596684,0.115181661844004,0.0255222831650753,0.0064903058821393,0.00234262356265011,0.00114797746939254,0.0045502081261789,0.00197499357770488,0.0018586588153008,0.436056190587195,0,0.00128509681682385,0,0.0189219254043114,0,0.133911387573311,0.00281455758116103
"tita39",38000,0.0244154354993901,0.0136381419601335,0,0.0903014402130064,0.0834739015978044,0.0351124500285036,0.120502848700648,0.0274015280232394,0.00678531391371895,0.00399953798741735,0.0017199312049817,0.0050762454838544,0.00144786803396033,0.00200375540944983,0.427953854769211,0,0.00103796458939462,2.83537683122552e-05,0.01792350314194,0,0.134708987264621,0.00246893731707004
"tita40",39000,0.0239677377906291,0.0160222390281265,0,0.0979998309801742,0.079692662563559,0.0361450045341291,0.130769019154147,0.0279605803675653,0.00674760518858476,0.00606180786375798,0.00233145457775948,0.00616378424243672,0.000781489014543459,0.00223649495870207,0.420958298054469,0,0.00125475251485216,0.000601975691088701,0.0165370025685669,0,0.121940987968786,0.00182727197557797
"tita41",40000,0.0231410727030081,0.017041957219994,0,0.103876097573481,0.072457055807842,0.0374979144363215,0.138077321222912,0.0279178934116283,0.00586703998263993,0.00778269054699192,0.00230190000149656,0.00653301250897935,0.000247257390002993,0.00254342083305896,0.414346281478749,0,0.00173200339112541,0.00128018053344807,0.0175488660384615,0,0.118340228359398,0.00146780576728524
"tita42",41000,0.0209419715386784,0.0177476058970503,0,0.105503530510989,0.0628431799502603,0.0388668799339936,0.139040197853311,0.0264234043546125,0.00412624272180451,0.00836332825838635,0.00170390013157895,0.00624654736625217,0,0.0025577765336177,0.399420943886784,0,0.0030772099160642,0.00183933383812898,0.0215290995299306,0,0.137812528388013,0.00195631877342394
"tita43",42000,0.0177838976122845,0.0195092741437421,0,0.103089712195761,0.0615955564342115,0.0371609015436227,0.14035146836846,0.0230628649682066,0.00286667744786924,0.00702083862750952,0.00122203907903575,0.0055528746815434,0,0.00274408941062766,0.387824647985745,0,0.00487243746242257,0.00252071039995522,0.0235627570303754,0,0.156484925499366,0.00277432652212852
"tita44",43000,0.0133803389704949,0.020382117795989,0,0.0967935386918915,0.0645624370106045,0.0336020049605396,0.139266829265979,0.0189813172936806,0.00209880123791661,0.00490622181286972,0.000662231757322176,0.00439470609277161,0,0.00297395746292021,0.383408900368201,0,0.00628511601940557,0.00297395746292021,0.0250368051211225,0,0.176205221620545,0.00408549637180782
"tita45",44000,0.00888143988284833,0.0199601297402812,0,0.0928490995530491,0.063918989815926,0.0315968314377773,0.125787891502895,0.01526974807963,0.00171212946537334,0.00324651514873299,0.000149305332731784,0.00356687449116475,0,0.00265784808910444,0.37558170462155,0,0.00700649930528611,0.00247324350334612,0.0265299983148357,0,0.212680371785698,0.00613137920836153
"tita46",45000,0.00612647796188522,0.0195095798466613,0,0.09526673415759,0.064054339353368,0.0289264781619145,0.110274170652276,0.0118416453099025,0.00196898796423074,0.00184203308238657,0,0.003051804206846,0,0.00239180288331012,0.379697308734882,0,0.00687289924803929,0.00180006833914828,0.0252815097741699,0,0.233460606304039,0.00763355341728359
"tita47",46000,0.0053557610387538,0.017582382281231,0,0.105527650857903,0.0678288351924772,0.0241978140148176,0.100049604707675,0.00819480447841945,0.00265405917902736,0.000689355725151976,0.000241016639285714,0.00213922582021277,0,0.00227325317150456,0.407192150449696,0,0.00539856705478723,0.0012329026862462,0.0223855883547112,0,0.218714920601216,0.00834210735068389
"tita48",47000,0.00621222961016443,0.014930549617713,0,0.123945456023468,0.0655586806005232,0.0223512939441704,0.0897772951555307,0.00634011405814649,0.00281414239192825,0.000721561673617339,0.000695571597384155,0.00151089898729447,0,0.00203293398632287,0.426452605852317,0,0.00361160840366218,0.000589810639088191,0.020654401254858,0,0.203130639275934,0.00867020681188341
"tita49",48000,0.00731635778661858,0.0133037413707512,0,0.150051854445945,0.0553369670439653,0.0232958250689787,0.0745369537122689,0.00670160999378501,0.00227029150648354,0.000956302017417325,0.00439669931504642,0.00153443778485383,0,0.00191260403483465,0.431161831669838,0.000535313757385099,0.00199824791605923,0,0.0177305786189672,0,0.197874293313972,0.00908609094935932
"tita50",49000,0.00894264933862756,0.0127446320563113,0,0.168648542957368,0.0485391664292119,0.0250992755580211,0.0702233998866175,0.00871495928847177,0.00163570128459609,0.000974041857815944,0.0101226987744509,0.00185667525267877,0,0.00194808371563189,0.431005380913215,0.00141383472908276,0.000885680985637207,0,0.0153197588829698,0,0.182762836857892,0.0091626817821263
"tita51",50000,0.0108359298261971,0.0121428707799263,0,0.176831296522253,0.043095220623849,0.0280866867709484,0.0666180291274555,0.0111259586511664,0.00120079647237569,0.000935967635896255,0.0160456571649018,0.00231987094843462,0,0.00153597725705955,0.40658842070795,0.0024878499558011,0,0,0.0147384845563229,0,0.194757643428484,0.0106533401368171
"tita52",51000,0.0113671438907331,0.012287911629759,0,0.171115886705467,0.0348999851134891,0.0299637645231856,0.0587221541710708,0.0139814922617748,0.000785425611705613,0.00091676998114581,0.0202857870879377,0.00304727853243066,0,0.00227082567962437,0.377377144534323,0.00343995745970736,0,0,0.0141562156179661,0,0.233355707581714,0.0120265500281721
"tita53",52000,0.0112982084463321,0.0125174272713961,0,0.158642178886551,0.0279229786825419,0.0301613475299261,0.0515610317061416,0.0167879978817174,0.000611270857549047,0.000923358560634063,0.0243316981964032,0.00380213052317316,0,0.00343358170038385,0.361024300495522,0.00441340138072221,0,0,0.0126669042032983,0,0.266936609521538,0.0129655743910293
"tita54",53000,0.0117045771293742,0.0109315401273357,0,0.13800083622688,0.0373735674427533,0.0282127217392132,0.0488433137328939,0.0181450609081335,0.000802098690222192,0.000909556786777196,0.0218937197001427,0.00477280983828226,0.000648184126860094,0.005092902640212,0.356297554982265,0.00427854027478426,0,0,0.0127510288867976,0,0.286361599546375,0.0129803870444384
"tita55",54000,0.0119366363868286,0.00878954563692754,0,0.120038160641415,0.0481672312112973,0.0250839145020457,0.0449952990642075,0.0183150412941138,0.000990472114557213,0.000990472114557213,0.0162536268857727,0.00535076187079319,0.00137094369770358,0.00697852412181602,0.354565082455589,0.00359934658994325,0,0,0.0131194671457701,0,0.306731589402006,0.0127238842892306
"tita56",55000,0.0137094399360676,0.00636700912145261,0,0.10471724896051,0.0611181826770999,0.0233056454082915,0.0550308088996254,0.017654734039807,0.000878454547393816,0.000878454547393816,0.0108186814060695,0.00725825644543204,0.00203233037870611,0.00887028014360993,0.382688686560218,0.00265021359761285,0,0,0.0116626682542696,0,0.280304799588153,0.0100541047650943
"tita57",56000,0.016226661359173,0.00450189414055765,0,0.0893936350759025,0.0806391490618265,0.0244055672230603,0.0711868350417565,0.0174765224238955,0.000716016269935345,0.000716016269935345,0.00661855852128233,0.0100768110572468,0.00291266101798222,0.00943481283997845,0.403097576235183,0.00181239758728448,4.02706171875e-05,0,0.0107114583394397,0,0.242452357301387,0.00758079881074892
"tita58",57000,0.0181093278462419,0.00506533123646282,0,0.0723082658679283,0.104834733382947,0.0272476875759698,0.0921324104727909,0.0166787315429687,0.000500153662176724,0.000500153662176724,0.00261410243292026,0.0137620463751347,0.00366939290106412,0.00866088247898707,0.418903932512123,0.000813405467133621,0.000734591603178879,0,0.0135736094709052,0,0.194342013955482,0.0055492266798222
"tita59",58000,0.0191095218587973,0.00701549709387138,0,0.0588292098714573,0.111749194180118,0.0305628722202561,0.115171199870666,0.0145029750329449,0.000456555006761617,0.000303636424687095,0.00152614689425982,0.0164681065071213,0.00335494527442095,0.00705127416616314,0.433872268928068,0.000380095715724356,0.00152614689425982,0,0.0162582692344986,0,0.157526749911452,0.00433533419695008
"tita60",59000,0.0187238161330024,0.00929011427125593,0,0.047063193111279,0.10945014965415,0.0356158681920587,0.137784713537764,0.0123168439726658,0.00123204673457057,7.30848493741908e-05,0.00226771487009063,0.0185106520401381,0.00254671947957128,0.00460822798575745,0.455889581041433,0.000652565791972378,0.00226771487009063,0,0.0182017534094375,0,0.120000280122932,0.00350495950266149
"tita61",60000,0.0154023189452278,0.0129640691473505,0,0.0412257312751782,0.105779385701968,0.0388245829929501,0.139573582327316,0.0119374839421289,0.0024611901897273,0,0.00337048272118066,0.0186659323596219,0.00187236901185311,0.00246138040742175,0.461457017839944,0.00116586233839479,0.00362941376634645,0.000129465512937713,0.0231025047177719,0,0.111311415836458,0.00466581059180353
"tita62",61000,0.012219143518513,0.0150612528598034,0,0.0445450383521543,0.0925234716172493,0.0397227060389476,0.130239591492425,0.0123686588190821,0.00387750099541793,0,0.00438482016975833,0.01629088332614,0.000955774459020028,0.00157528150513635,0.459966371858695,0.0016289969746508,0.00562383435429754,0.000619507046116325,0.0270351721366492,0,0.12472866978989,0.00663332428283202
"tita63",62000,0.0111951006653739,0.0127933368998604,0,0.0527395357645051,0.0728871627761402,0.0409118144950357,0.122722078603087,0.0131030741216258,0.00567513876582377,0,0.00487574718267142,0.0124944669784362,0.000131603258222153,0.00222351753824077,0.461076616239761,0.00243639194314303,0.00666467985169097,0.00135502317002792,0.0259151818263264,0,0.143053480921579,0.00774604862480608
"tita64",63000,0.011848752353055,0.00969513532135149,0,0.064101517518717,0.0616629004702687,0.041090934357297,0.113508374358264,0.0151271462904666,0.0066688668388033,0,0.0058790731323212,0.00883219258376126,0,0.00495461076862395,0.453024440757461,0.00318940573066905,0.00712554905469971,0.00228915045828682,0.0249327431548709,0,0.158043402039146,0.00802580432708194
"tita65",64000,0.0143785737260539,0.00772173198566336,0,0.076313282299907,0.0555063966262399,0.0405352401119808,0.106189560129727,0.0185292169808586,0.00638057646566956,0,0.00737260374139802,0.00619097798907316,0,0.0085405388350899,0.43094309353836,0.00328905647884377,0.00849324355843149,0.00341364466119033,0.0261824311062461,0,0.171963161369188,0.00805666977239616
"tita66",65000,0.0180480287201735,0.00550555415835141,0,0.0841648340612611,0.0508502386133593,0.040863233157379,0.108276303259406,0.0212838340337348,0.00536450535051238,0,0.00807336150774179,0.00578041886850176,0,0.0116008428039494,0.412679716193358,0.0031436850028424,0.00882755698511482,0.00403902648111302,0.0257650197809111,0,0.17874758591959,0.00698625453519336
"tita67",66000,0.0212637117349527,0.00384026674586824,0,0.0892825182657391,0.0453669961271427,0.0404745878630948,0.109189898358598,0.0226702996633869,0.00427985617887616,0.000357906065031901,0.00855153071881005,0.00697154286716888,0,0.0145972546272581,0.404600162492659,0.00319885193350757,0.00744028991144592,0.00414061672888001,0.0263676705596894,0,0.182184417461373,0.00522162126258744
"tita68",67000,0.0230549526832242,0.0045463737008354,0,0.0873884438814631,0.0454339134119064,0.0393003148488748,0.10729030481019,0.0232443455355611,0.00323468247392188,0.000952509972153233,0.00828044676729134,0.0100520706825469,0,0.0151237828954617,0.405509760742154,0.00274326823729962,0.00641809238037179,0.00368652226175961,0.0289550345798901,0,0.180607243134417,0.00417793670542636
"tita69",68000,0.0230268109572832,0.00475515193504911,0,0.0823954515025508,0.0484371600700525,0.0390560860923627,0.101707236637707,0.0234590264417117,0.00246765226216401,0.00157283179776136,0.0063636674938704,0.0137976922606411,0,0.0152024737027336,0.415177151879007,0.00182294891745983,0.00646442895545572,0.00271776938186248,0.0318185609269017,0,0.176112837753369,0.00364506101461966
"tita70",69000,0.0213946217377074,0.00427603825312524,0,0.0760466887480112,0.0510989846433821,0.038635876032957,0.095505701904614,0.0211325622264565,0.00255294099242367,0.00217107356617926,0.00432803956337601,0.0160814897350557,0,0.0154100807392984,0.432774977233503,0.00131539064573074,0.00616522948799151,0.00169725807197515,0.0341537748471096,0,0.171638136752709,0.00362113503333586
"tita71",70000,0.0203645332072167,0.00335344297116328,0,0.0786103203110893,0.0519819163398505,0.0363082050668831,0.0879599884128482,0.017092368579301,0.00300741806718502,0.00276711708311316,0.0029225649211897,0.0162863371339171,0,0.019154393269042,0.442286076933494,0.000813987629878463,0.00628262628466823,0.000813987629878463,0.0376962216512418,0,0.168203553767872,0.0040949411468257
"tita72",71000,0.0187165165020255,0.0025382164670947,0,0.0885695800016051,0.0532177477454712,0.0350917257907972,0.0825714296801192,0.0144286159573492,0.00324935650355423,0.00270152105786135,0.00205965776282198,0.0146216183606971,0,0.024668092458534,0.438869441881678,0.000321328986700298,0.00784225578177788,0.000321328986700298,0.0409241297266682,0,0.164528181132997,0.00475925578017274
"tita73",72000,0.0163962238221323,0.00222835940278714,0,0.102549016029819,0.055050808524837,0.0361726459135386,0.0772488995848505,0.0127877844337304,0.00328691055510602,0.0032568367520042,0.00247642073567094,0.0109972396803027,0,0.0334608571241478,0.421042118440324,0,0.00994414583644265,0,0.0446978295076796,0,0.16323630108781,0.00516760331272945
