"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cupressaceae","Fraxinus","Ostrya","Pinus","Poaceae","Quercus","Thalictrum"
"patz62",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz63",62000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz64",63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz65",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz66",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz67",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz68",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz69",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz70",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz71",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz72",71000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz73",72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz74",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz75",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz76",75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz77",76000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz78",77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz79",78000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz80",79000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz81",80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz82",81000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz83",82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz84",83000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz85",84000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz86",85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz87",86000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz88",87000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz89",88000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz90",89000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz91",90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz92",91000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz93",92000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz94",93000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz95",94000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz96",95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz97",96000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz98",97000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz99",98000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz100",99000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz101",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz102",101000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz103",102000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz104",103000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz105",104000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz106",105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz107",106000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz108",107000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz109",108000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
