"","YrBP","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Papaver","Pedicularis","Phlox","Picea","Pinus","Plantago","Poaceae","Polemoniaceae","Polygonaceae","Populus","Potentilla","Ranunculaceae","Rosaceae","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Thalictrum"
"zago38",37000,0.00567411591115709,0.000368978348316987,0.00258192516655805,2.14028572126821e-05,0.0607619661287595,0.0221402336965199,0.05686617911553,0.00459524458242367,0.0497726638420281,0.00427971411888625,0.00111475467789762,0.00162293822457558,0.00289125863050279,0.000776319583873701,0.00707955113030728,0.000879999133500603,0.00104066008983675,0.629414903149581,0.00681357610236567,0.00487396441254195,0,0.00119095399099026,0.0405693662336668,2.14028572126821e-05,0.0118881926657108,0.0558383950458633,0.00113797448778064,0.0100928361908176,0.0156905313726091
"zago39",38000,0.00559035835359338,0.000259064256452044,0.00244433176556238,0,0.0567471350183008,0.0217822301913706,0.0615208804795351,0.00416242301867486,0.0480443237124766,0.00445716354501737,0.00116291718322201,0.000941281285412771,0.00347275811512156,0.000717079981111408,0.0070839162853059,0.00084748513163238,0.000684196092866684,0.627614438622602,0.00699495490927064,0.00491757480996527,0,0.00110243494076944,0.0422798442841304,0,0.0128541816112477,0.0583148900138392,0.00120609290146941,0.00986527349834357,0.0149327704934812
"zago40",39000,0.00561048282468895,0.000208388890314711,0.00220642589455965,0,0.0545511644017565,0.0213032043868261,0.0673639108793364,0.00457277691495487,0.0480262118055135,0.00426484621961454,0.00119812155003659,0.000606868219272993,0.00452908476174677,0.000782772075189071,0.00695139793256892,0.000844328245279337,0.000311932988192242,0.614412054430446,0.00737700183273969,0.00455424992798243,0,0.0012027575589656,0.0447194571984386,0,0.0139907077439863,0.0650039714610881,0.00121411106899244,0.00976884439956087,0.0144249262376677
"zago41",40000,0.00656661673808708,1.98537310021712e-06,0.00117140292355159,0,0.0506246401147297,0.0201085622948235,0.0766057753160782,0.00609700609210376,0.0458591528463033,0.00383856325517084,0.00110864285087419,0.000731593460633071,0.00652888769192092,0.000731593460633071,0.00671213936338704,0.000791295123757285,1.98537310021712e-06,0.595346412365558,0.00720384083384756,0.00264662567169466,0,0.001429214569992,0.048783064073363,0,0.0172144491296995,0.0741936230877614,0.00112877022728831,0.0109778275430237,0.0135963286687236
"zago42",41000,0.00665988049792961,0,0,0,0.0363159407991718,0.0191901850828157,0.0841909132018634,0.00896452526086956,0.0435555436966874,0.00246707362939959,0.000500720172877847,0.000500720172877847,0.0121257249989648,0.000500720172877847,0.00567629823291925,0.000983176826086957,0,0.584110126336439,0.00696759958074534,0.00227447817391304,0,0.00172532769668737,0.0546693655196687,0,0.0223807411252588,0.0745874575496894,0.000500720172877847,0.0155279504968944,0.0156248106966874
"zago43",42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago44",43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago45",44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago46",45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago47",46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago48",47000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago49",48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago50",49000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago51",50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago52",51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago53",52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago54",53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago55",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago56",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago57",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago58",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago59",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago60",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago61",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zago62",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
