"","YrBP","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cercocarpus","Cupressaceae","Pinus","Poaceae","Sarcobatus.vermiculatus"
"ruby70",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby71",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby72",71000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby73",72000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby74",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby75",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby76",75000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby77",76000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby78",77000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby79",78000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby80",79000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby81",80000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby82",81000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby83",82000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby84",83000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby85",84000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby86",85000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby87",86000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby88",87000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby89",88000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby90",89000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby91",90000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby92",91000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby93",92000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby94",93000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby95",94000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby96",95000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby97",96000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby98",97000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby99",98000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby100",99000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby101",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby102",101000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby103",102000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby104",103000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby105",104000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby106",105000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby107",106000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby108",107000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby109",108000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby110",109000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby111",110000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby112",111000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby113",112000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby114",113000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby115",114000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby116",115000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby117",116000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby118",117000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby119",118000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby120",119000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby121",120000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby122",121000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby123",122000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby124",123000,NA,NA,NA,NA,NA,NA,NA,NA,NA
