"","YrBP","Alnus","Ambrosia","Artemisia","Asteraceae","Betula","Caryophyllaceae","Ericaceae","Micranthes","Picea","Pinus","Poaceae","Polygonaceae","Ranunculaceae","Salix"
"fog040",39000,0.15908053859253,0.00259737654676211,0.00794472942410685,0.00525712179475708,0.565403022393418,0.0062157225012925,0.088954240939882,0.000155386423576589,0.00330665054593359,0.00375386428401935,0.0619067047769272,0.0437342447530655,0.00214974467133956,0.0495406523421489
"fog041",40000,0.153744491316371,0.00407999987368597,0.0138019478882135,0.00528833218790954,0.504495992565904,0.00879261331397262,0.0982620730368625,0.000404967898669938,0.00448279824568497,0.00418635679745141,0.0674306024704849,0.0680008297962524,0.00316333194649081,0.0638656627212726
"fog042",41000,0.136957625624661,0.00538637512734712,0.0199949676296315,0.00537292292170399,0.43361496321596,0.0120394387723165,0.116012912032358,0.0010217269372678,0.00557612907525856,0.00453666203981323,0.0745459568327141,0.088878710532684,0.00406515080823878,0.0919964584874485
"fog043",42000,0.118366337027448,0.00674320060421278,0.0264356086468066,0.004904116026493,0.363618707852646,0.0156295933368129,0.135341316563739,0.00169590369953631,0.00667724197273808,0.00488701610105553,0.0808519513085258,0.107786539531025,0.00467432769291889,0.122388139591863
"fog044",43000,0.101720194053411,0.00812400811101257,0.0323834950282021,0.00396877474196838,0.298297710507638,0.0186694964902113,0.155350635023125,0.00233279831880363,0.0078109363122187,0.0054714861595681,0.0847600972368579,0.12453349908332,0.00494007514673082,0.151636793645123
"fog045",44000,0.0857883175971873,0.00889010875167281,0.0365661322547367,0.00324323991789731,0.255588158440918,0.0213177434931327,0.179233757168901,0.00308780314096213,0.00894968892198249,0.00608764048738056,0.0866602868042167,0.112052028046533,0.00460485943584627,0.187930235282018
"fog046",45000,0.0708393900205668,0.00858568521559365,0.0372255091603949,0.00244730475327743,0.23059349232355,0.0226695210414256,0.201569607516188,0.00387202939262778,0.00878944306990075,0.00665454054368133,0.0857282177336129,0.0979136481160236,0.0039388091532562,0.21917280157964
"fog047",46000,0.064487900427841,0.00832087107199923,0.0367607335583855,0.00158579635644893,0.230612932063339,0.0225065760760578,0.217798666431101,0.00407791098450083,0.0085033155095232,0.00754135775556053,0.0821834431370957,0.0822456534876965,0.00312809799670842,0.230246744600089
"fog048",47000,0.0625423528265204,0.00776604399417825,0.0342334512058553,0.000879510662841347,0.250734803116938,0.0205009961176076,0.232826000425532,0.00408356931341096,0.00800341474518345,0.00856950384926286,0.0755204176047077,0.060490422417616,0.0021887534977802,0.231660759549757
"fog049",48000,0.0585681879519719,0.00657244589427045,0.0307228382946628,0.000427917117432186,0.277418833637489,0.019029484159034,0.250808051540215,0.00434651350720422,0.00718383694669553,0.00944695550848948,0.0686864133834134,0.0221758849077995,0.00100556434012041,0.243607072045863
"fog050",49000,0.0588601110045855,0.00499524655814227,0.0244680790452675,0,0.317796394137449,0.015119983841505,0.259210777136273,0.00400646335943563,0.00482561945549677,0.0104123005038213,0.0599025905609641,0.0157400493185185,0.000224879051851852,0.22443750514709
"fog051",50000,0.0690451095839659,0.00539809233989564,0.0216811043055028,0,0.381444286780598,0.00936644162167932,0.260055065525854,0.00233710262737192,0.00443344643287476,0.0120979358363378,0.0522757761805029,0.0153996845441176,0,0.166465953029175
