"","YrBP","Alnus","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Picea","Plantago","Poaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Thalictrum"
"joe026",25000,0.0015517225108508,0.0359998783552713,0.00938958832361282,0.214725422968249,0.00369355138202836,0.00981095610465475,0.325046660848274,0.00432289014583847,0.00360379203936498,0.00214235746945129,0.278271762407768,0,0.0246876018679716,0.00422628962432183,0.00342362981328607,0.0642414828248459,0.0148624126885018
"joe027",26000,0.00123947174954181,0.0360362107871507,0.00945105248271447,0.215467911004544,0.00394819250089127,0.00900325063691597,0.321715598029274,0.00455308005109086,0.00327170841573147,0.00247117474914012,0.277323673464337,2.25732905023725e-05,0.0267171640400693,0.0042828690285205,0.00331124641209109,0.0661301804227863,0.015054642462253
"joe028",27000,0.00116787215687461,0.0372247906223671,0.01001155525847,0.220246894163955,0.00404181821448418,0.00828712596611992,0.31402592907446,0.00442857408068925,0.00295032376790356,0.00289232397591198,0.278430277554136,0.000109691577798691,0.0283115772942099,0.00405357430478623,0.0028634572370709,0.0651437648578247,0.0158104496127991
"joe029",28000,0.00135084080267223,0.0384847735515111,0.0105504227160191,0.22973882096984,0.00415005644570622,0.00761957504808381,0.3062047266025,0.00425389458960981,0.00264158930059542,0.00299941250766272,0.278012203455282,0.000270949453113171,0.0289758406715569,0.00367996636738076,0.00233745724743724,0.0629766466713932,0.0157528235254026
"joe030",29000,0.00160131146574154,0.0393855733410274,0.0107529509592565,0.241922946844812,0.00420282069252149,0.00697639503699834,0.300011086353505,0.00440738803392336,0.00248501459952298,0.00314237560364267,0.273892097874931,0.000457589048766065,0.0292438936705432,0.00337054048022944,0.00198735783434519,0.0608154270450406,0.0153452312125877
"joe031",30000,0.00189895897719505,0.0394213978438218,0.0107299975573406,0.257284689416591,0.00387925166060981,0.00627838020033985,0.296344137064997,0.00452708360565393,0.00256428999132987,0.00312296938428563,0.266284570819163,0.000640830761040416,0.0296265633060421,0.00292865275795084,0.00173145497257999,0.0576589626229169,0.0150778092889528
"joe032",31000,0.00218095225409388,0.0387407222067261,0.0102985120434791,0.274016526569762,0.00371082369892914,0.00572760172179232,0.296426540124243,0.0046147828338414,0.00270913001586743,0.00294554901825146,0.254483015303963,0.000808237858170165,0.0294264388625865,0.00259356121901747,0.00154507408314769,0.0551548117108297,0.0146177208531285
"joe033",32000,0.00232262870396676,0.036494493324859,0.00957981584712632,0.287094488097616,0.00387954319048373,0.00499127723513701,0.303522383144624,0.00491568847423088,0.0029833813413394,0.00242775049245227,0.239400545685963,0.000875229998278762,0.0287069775520229,0.0025915660584034,0.00147077849108715,0.0555056989134237,0.0132377540224552
"joe034",33000,0.00233724194029151,0.0333463421071858,0.00860525723793701,0.300611951392621,0.00418767938242789,0.00448169457790235,0.31495908456881,0.00506699034697788,0.00333389697099174,0.0021218097897462,0.218891331906717,0.000804848404586688,0.0275261908419937,0.00287513453382937,0.00165344105956579,0.0569894930149832,0.0122076126897156
"joe035",34000,0.0023451521715193,0.0300053152544952,0.00777155075927912,0.301113332928633,0.00463766788627928,0.00414355448010145,0.334277868458533,0.00499499568114896,0.00371811801319696,0.00192560711089574,0.198571651716224,0.000649005701233091,0.025312148428922,0.00314342424894837,0.00227923202897146,0.0627595803982803,0.0123517957222245
