"","YrBP","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Carya","Ceratiola.ericoides","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gordonia","Iva","Moraceae","Myrtaceae","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Sabal","Serenoa","Taxodium","Ulmus","Vitis"
"anni26",25000,0.0740709069605625,0.052710682200097,0,0.01378023022321,0.0244603421034427,0.0380231721155649,0.000888439215128495,0.0380231721155649,0,0,0.00489583669484403,0.00511323590593179,0,0.016681788001293,0.00333635720025861,0.152149210676257,0.198603136976402,0.0042247966908033,0.363918058810409,0.000888439215128495,0,0,0.00578427590997252,0.00244791798513011
"anni27",26000,0.0727648140516549,0.0534425259321424,0,0.016306062751558,0.0259672063113142,0.0407627289362969,0.0012079461880626,0.0407627289362969,0,0,0.00422659899861515,0.00573713812519042,0,0.0166062288730093,0.00332124537460186,0.148548280288326,0.203203606293727,0.00452919193712782,0.353857905440798,0.0012079461880626,0,0,0.00543454518667775,0.00211329918653926
"anni28",27000,0.0709386716891012,0.0544657692502423,0,0.0198376107366016,0.028074061456031,0.0445931002145132,0.00165467184932835,0.0445931002145132,0,0,0.00329088967857637,0.00660946065669575,0,0.0165005842254535,0.00330011644509071,0.143513560720399,0.209635853073951,0.0049547888073674,0.33979208200914,0.00165467184932835,0,0,0.00494556152790472,0.00164544459576236
"anni29",28000,0.0691125293265476,0.0554890125683423,0,0.0233691587216452,0.0301809166007478,0.0484234714927295,0.0021013975105941,0.0484234714927295,0,0,0.0023551803585376,0.00748178318820108,0,0.0163949395778978,0.00327898751557956,0.138478841152472,0.216068099854175,0.00538038567760698,0.325726258577482,0.0021013975105941,0,0,0.0044565778691317,0.00117759000498546
"anni30",29000,0.0698615444468775,0.0566628868016221,0.000746359617193836,0.0273132527690187,0.0310204374679643,0.0494359731635036,0.00392717013073804,0.0494359731635036,0,0.000373179837145174,0.00184920149505272,0.00850783865985401,0,0.0170751440253041,0.00307916658588808,0.132793782300406,0.221002299604704,0.00681974749489051,0.312546632768856,0.00224786092068127,0,0,0.00409706241573398,0.00120448550235199
"anni31",30000,0.0754665594414327,0.0592344592704743,0.00342172353146176,0.0358038600815102,0.0306607304917715,0.0469402990422072,0.0097573984232333,0.0469402990422072,0,0.00171086189661181,0.00153176073901258,0.01079088041394,0,0.0196823047272023,0.00239668499554695,0.12046627722788,0.2284035661303,0.0112986531086157,0.287795853440465,0.00205852015024201,0,0,0.0035902808892546,0.00204902674191675
"anni32",31000,0.0831332923975904,0.0617559420481928,0.00661469385542169,0.0440471568313253,0.0291038918674699,0.0419118599759036,0.0164765322409639,0.0419118599759036,0,0.00330734718072289,0.00165367359036145,0.0130487792409639,0,0.0228504149638554,0.00159347043373494,0.108448214313253,0.233794380975904,0.0164163295783133,0.265784199409639,0.00159347043373494,0,0,0.00324714402409639,0.00330734718072289
"anni33",32000,0.0910487530258176,0.0633254259122203,0.0094270636919105,0.0490595258072289,0.0263913157056799,0.0350442341153184,0.0221103444182444,0.0350442341153184,0,0.00471353220654045,0.00235676610327022,0.0144821807039587,0,0.0257081458158348,0.000899450209982788,0.101068011215146,0.23444757654389,0.0206530288037866,0.255351214039587,0.000899450209982788,0,0,0.00325621631325301,0.00471353220654045
"anni34",33000,0.0949790828914701,0.0691139550442831,0.0111458841321234,0.0513612899793103,0.0277759814323049,0.0377293574515426,0.0242250044254083,0.0377293574515426,0,0.00598355357967332,0.00299177678983666,0.0138363145509982,0,0.0298455055509982,0.000173291937568058,0.102435855148094,0.21556660806098,0.0222277418642468,0.244378749228312,0.000173291937568058,0,0,0.00316506872740472,0.00516233134228675
"anni35",34000,0.0933511082623656,0.0729402024193548,0.0108344771870968,0.0501754488666667,0.0305963809075269,0.0441903333268817,0.022500792972043,0.0441903333268817,0,0.00616795158709677,0.00308397579354839,0.0124170277075269,0,0.0315093443247312,0,0.108121984393548,0.199524869754839,0.0209182424516129,0.24172702603871,0,0,0,0.00308397579354839,0.00466652631397849
