"","YrBP","Acer","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Ceanothus","Eriogonum","Fabaceae","Lamiaceae","Liliaceae","Opuntia","Picea","Pinus","Poaceae","Polygonaceae","Populus","Rosaceae"
"last30",29000,0.000670974920825131,0.0591211161516734,0.00763074552768981,0.526018231618591,0.125289223658307,0.00773602670546948,0.00071925019258752,0.00174955062911923,0.00785577334588719,0.0456594196696054,0.00202550714713687,0.000749807412479671,0.000989129504408114,0.00164221518445605,0.0186374218950612,0.0619836514593854,0.0601815458358298,0.000564409826243259,0.0547427030728409
"last31",30000,0,0.0539720769360553,0.0074576514256791,0.537349333558293,0.126438333052134,0.00802176480512907,0.000303188797030538,0.0023148304369833,0.00881938586131264,0.0430993757381475,0.00209676058714358,0.00118795343344019,0.00117580563522861,0.00119419605196558,0.0149964568921883,0.0663291715876497,0.0626124514931669,0.000303188797030538,0.0491437489455036
"last32",31000,0,0.0530406877236658,0.00718865722732223,0.538566905243504,0.128738135988797,0.00840905554691147,4.62112960946009e-05,0.00267932161194959,0.00968920180488564,0.04379181577719,0.0021670297183756,0.00156231523261242,0.00155111249416524,0.00117908822156527,0.0122738447175976,0.0698822156527151,0.0643541310098024,4.62112960946009e-05,0.0446203516415124
"last33",32000,0,0.0595162759444527,0.00654494549798417,0.523933626997163,0.135295804091384,0.00725474092877408,0,0.0026932955054502,0.0106851575332238,0.0467477975212782,0.00243310437509333,0.0015351649992534,0.00223861430491265,0.000913842018814395,0.0122996864267582,0.0728923398536658,0.0629732716141556,0,0.0418844258623264
"last34",33000,0,0.0666123076923077,0.00608407871198569,0.50964343470483,0.14117717352415,0.00607162790697674,4.87298747763864e-05,0.00310812164579606,0.0114741323792487,0.0482601788908766,0.00248393559928444,0.00275456171735241,0.00279842576028623,0.000661180679785331,0.0135073345259392,0.0734098747763864,0.0621582110912343,0.000568515205724508,0.0391075491949911
"last35",34000,0,0.0716600167410714,0.00639773995535714,0.492804268973214,0.145689662388393,0.00547300502232143,0.000256766183035714,0.00386690848214286,0.0120222516741071,0.0467829938616071,0.00207840401785714,0.00819580078125,0.00279771205357143,0.000435267857142857,0.0155368303571429,0.0698131277901786,0.0652022879464286,0.00299560546875,0.03879052734375
"last36",35000,0,0.0732348303533718,0.00630156271997747,0.486020554695199,0.144337392650993,0.00463937772772068,0.000470294241869633,0.00474700830634943,0.0114394621990708,0.0457141348725891,0.00188624524848656,0.0135049274954245,0.0029819794453048,0.000228072645361115,0.0181609179220048,0.0647042798817401,0.0651317753062086,0.00548676615514571,0.0417242714346051
"last37",36000,0,0.072742080810925,0.00601999155286499,0.480177952977615,0.142507180064761,0.0037242714346051,0.000681472617203998,0.00559172180768689,0.0105243559059552,0.046277277206814,0.00167506687315219,0.0186436012952274,0.00326355061241729,1.68942700267493e-05,0.0213989863437984,0.0586504997888216,0.0645686329719837,0.00795051386737998,0.0458070533577362
"last38",37000,0,0.0679690494782424,0.00599787037694328,0.472867679420743,0.142087385532761,0.00368190530276141,0.000900191666075105,0.00590608362319869,0.0101222403634557,0.0459809043799248,0.00123007027756087,0.0242040178888337,0.00302555547668063,0,0.023611414779584,0.0531732093419465,0.0686921274934337,0.0105022361042096,0.0495928160715553
"last39",38000,0,0.0640742333046718,0.00564402407566638,0.469087202636859,0.144056391516194,0.0036188736027515,0.00102601031814273,0.00547972198337633,0.0095677128116939,0.0450053023789051,0.000735597592433362,0.0275219260533104,0.00269124390942964,0,0.0247140298079679,0.0487101605044425,0.072780811120665,0.0119701203783319,0.0522366723989682
"last40",39000,0,0.059786701971168,0.00469020300088261,0.476465210355987,0.15202493380406,0.00355582524271845,0.00083252427184466,0.00458921741688732,0.00798227419829362,0.0476944689614593,0.000534421888790821,0.0224401294498382,0.00268895263312739,0.000141218005295675,0.0261039276257723,0.0460075757575758,0.0706214327743454,0.00971278317152104,0.0520723006766696
"last41",40000,0,0.0553351030387705,0.00421418092909536,0.479121900104785,0.173572546280126,0.00352294795668879,0.000581138665735243,0.00395005239259518,0.00629123297240657,0.0470021655606008,0.000298009081383164,0.0159565490743975,0.00245867970660147,0.000343695424380021,0.0270907439748516,0.0440856444289207,0.0666616136919315,0.0067799511002445,0.0501068110373734
"last42",41000,0,0.049042403498764,0.00380921594726501,0.49323787792356,0.197876465741269,0.00360163529188059,0.000337136337706788,0.00339386448627749,0.00425042783799201,0.0425699435887685,8.02433922799011e-05,0.00966077200988781,0.00197730874057172,0.000501996577296064,0.0275838245547316,0.0396445458578944,0.0621338023705394,0.00393325727324587,0.0437770805603093
"last43",42000,0,0.0416000623927624,0.00337087297873447,0.531607861488067,0.205114594707014,0.00426969271564499,0.000120574013414444,0.00311605053813758,0.00234446004263505,0.0375327821972651,0,0.00393677533406125,0.00158789580408673,0.000567774138199969,0.0269052149950606,0.0336422814953465,0.0540918733426922,0.00140669682316851,0.0373154994020694
"last44",43000,0,0.0308161167731905,0.0031177232682674,0.573187769908447,0.204052081533944,0.00474175159785801,0,0.00294925721195371,0.000981300742788046,0.0343992917602349,9.01710139920539e-05,0.000503066159958542,0.00118932458110209,0.000601140093280359,0.0267000777336328,0.0274103040248748,0.0459964588011746,0,0.0324944290896528
"last45",44000,0,0.0228845257433435,0.00297316194646515,0.607900275443181,0.191888339572004,0.00466558372766438,0,0.00273511547425666,0.00044929020411046,0.0306985662829296,0.000285613390776185,0.000305424111872307,0.000866586623349107,0.000461897026626174,0.0298704357652377,0.0237106787202486,0.0407321138498482,0,0.0295166678437743
"last46",45000,0,0.017386212469696,0.00262398209734568,0.642392117859141,0.172165599552434,0.00474451420401566,0,0.00218042518804003,0.000175576552495804,0.0285036364766582,0.000437869086840306,0.000175576552495804,0.00057512276993846,0.000313296450550134,0.03422797911357,0.0203007708087275,0.0375686579225461,0,0.0267482750046621
"last47",46000,0,0.0135682406015038,0.0021618045112782,0.674164090225564,0.15049154887218,0.00471777443609023,0,0.00171888721804511,7.96691729323308e-05,0.0264209323308271,0.00060415037593985,7.96691729323308e-05,0.00037606015037594,0.000212932330827068,0.038661022556391,0.0181469172932331,0.0337048421052632,0,0.0257989473684211
"last48",47000,0,0.0104404199980734,0.00169797386250522,0.694341553479113,0.13370002889895,0.00395832129210416,0,0.00126371897376618,0,0.024926115017821,0.000837684230806281,0,0.000220113669203352,0.000131008573355168,0.0457733359021289,0.0173682368429503,0.031128215008188,0,0.0247541341553479
"last49",48000,0,0.00963306044633845,0.00126649471047811,0.700536166872266,0.118587865874173,0.00322507569810474,0,0.000873088856491346,0,0.0239205263354641,0.00104340024671975,0,0.000144106762364024,4.03723225299989e-05,0.0568643789017233,0.0181365556427797,0.0306924600949497,0,0.0247539905050278
"last50",49000,0,0.00932188445173527,0.000762803096324396,0.707702619572461,0.103151484082637,0.0027228174501461,0,0.000475521607628031,0,0.0229288973189112,0.00112328907571641,0,4.38304198492849e-05,0,0.067102629825191,0.0179709335110473,0.0302464756241349,0,0.025093043522838
"last51",50000,0,0.00919124348958333,0.0002626953125,0.7093388671875,0.09176123046875,0.00181575520833333,0,0.00027880859375,0,0.02155224609375,0.001294921875,0,0,0,0.0775491536458333,0.0190958658854167,0.02904296875,0,0.0261735026041667
"last52",51000,0,0.00926844444444445,0,0.683931851851852,0.0904841481481481,0.000252444444444444,0,6.31111111111111e-05,0,0.022610962962963,0.00146844444444444,0,0,0,0.0948607407407407,0.0220794074074074,0.0318376296296296,0,0.0277054814814815
"last53",52000,0,0.00944374563242488,0,0.636239692522711,0.0890768693221523,0,0,0,0,0.0254437456324249,0.00136687631027254,0,0,0,0.122545772187282,0.0253214535290007,0.0375877009084556,0,0.0334751921733054
"last54",53000,0,0.013,0,0.592,0.072,0,0,0,0,0.026,0,0,0,0,0.162,0.023,0.039,0,0.046
"last55",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last56",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last57",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last58",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last59",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last60",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last61",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last62",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last63",62000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last64",63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last65",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last66",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last67",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last68",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last69",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last70",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last71",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last72",71000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last73",72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last74",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last75",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last76",75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last77",76000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last78",77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last79",78000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last80",79000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last81",80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last82",81000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last83",82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last84",83000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last85",84000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last86",85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last87",86000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last88",87000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last89",88000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last90",89000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last91",90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last92",91000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last93",92000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last94",93000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last95",94000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last96",95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last97",96000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last98",97000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last99",98000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last100",99000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last101",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last102",101000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last103",102000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last104",103000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last105",104000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last106",105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last107",106000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last108",107000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last109",108000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last110",109000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last111",110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last112",111000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last113",112000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last114",113000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last115",114000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last116",115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last117",116000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last118",117000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last119",118000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last120",119000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last121",120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last122",121000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last123",122000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last124",123000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last125",124000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last126",125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last127",126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last128",127000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last129",128000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last130",129000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last131",130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last132",131000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last133",132000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last134",133000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last135",134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last136",135000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last137",136000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last138",137000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last139",138000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last140",139000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last141",140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last142",141000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last143",142000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last144",143000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last145",144000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last146",145000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
