"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Carya","Caryophyllaceae","Cupressaceae","Fagaceae","Fraxinus","Juglans","Ostrya","Picea","Pinus","Poaceae","Pseudotsuga","Quercus","Salix","Tilia","Tsuga.heterophylla","Ulmus"
"kilb21",20000,0.00560652784175708,0.00298284075152157,0.000972446829319926,0,0.000631646461321337,0,0,6.55000661550675e-05,0.028313838490606,0.00521577287218841,0,0,0,0.0193393295183911,0.000697146527476405,0.0209675482342771,0.00428159002187528,0.778573619656347,0.000972446829319926,0,0.100667564907471,0.00528127293834348,0.00171674032707065,0.000972446829319926,0.0227417195884273
"kilb22",21000,0.00715253004312232,0.00434021930777337,0.00129291867585312,0,0.000185047169652266,0,0,0.000461463017751479,0.0300626307017914,0.00401396239377482,0,0,0,0.0194098528613115,0.000646510187403745,0.0188641456052525,0.004734987766718,0.777080009163006,0.00129291867585312,0,0.0962035738312394,0.0044754254115263,0.00198085507724731,0.00129291867585312,0.0265100296647483
"kilb23",22000,0.00860255328834559,0.00607743654877344,0.00172436158453787,2.52266206326918e-05,0,0,0,0.000879124824481705,0.0321485511523912,0.00342946818468654,0,2.52266206326918e-05,0,0.0209896821696539,0.000879124824481705,0.0176468332510118,0.00590539866193111,0.765900629423639,0.00172436158453787,0,0.0965882785137524,0.00433381963492195,0.00167987997951598,0.00182526807218964,0.0296147729690262
"kilb24",23000,0.00905923676304331,0.00722032852474072,0.00185718678616103,0.000414181513419365,0,0,0,0.00123458627582931,0.0343724355245032,0.00348767602755126,0,0.000414181513419365,0,0.0228726242514449,0.00123458627582931,0.018840539060882,0.00723714910205051,0.751147030842214,0.00185718678616103,0,0.0965486808789486,0.00513644390087879,0.00121630772797087,0.00351391292391735,0.0323357230341224
"kilb25",24000,0.00784892808439728,0.00715455542994528,0.00153639680782623,0.000842118611838833,0,0,0,0.00170324608273918,0.0352760606955729,0.00323973734903001,0,0.000842118611838833,0,0.024881578172774,0.00170324608273918,0.0217517583218372,0.00816352348764716,0.743277312598906,0.00153639680782623,0,0.0951381136778312,0.00578510221455812,0.000861221929364948,0.00490487142613165,0.0335537112953076
"kilb26",25000,0.00626126055665489,0.007031412671064,0.00106838714534747,0.00118443209234393,0,0,0,0.00188534752650177,0.037881119707342,0.00267786320408324,0,0.00156266779199058,0,0.0249412289116608,0.00188534752650177,0.0261461835746368,0.00865456968535532,0.736864719894307,0.00106838714534747,0.00151294279858657,0.0932878145100118,0.00650411446266196,0.000425043966391834,0.00580611575516294,0.0333510389335689
"kilb27",26000,0.00553337871231359,0.00721289462002556,0.000739650813463997,0.00170514279471666,0,0,0,0.00162415046868343,0.0410986511694078,0.00248210173873029,0,0.00253746717775884,0,0.0228438090489987,0.00162415046868343,0.0308845353918193,0.00897021303306349,0.730119664580656,0.000739650813463997,0.00332929753216873,0.0898302493212612,0.00747604411435876,3.73081305496378e-05,0.00756022233847465,0.0336514157493822
"kilb28",27000,0.00504840694333387,0.00706944822086087,0.000302570876672578,0.00230626544663872,0.00103653260365952,0,0.000345510867886507,0.00148277596138965,0.0455527172661615,0.00364536892697082,0,0.00314710163944865,0.000345510867886507,0.0202909169112526,0.00113726509350314,0.0339702434494599,0.00867855035378043,0.722068962293568,0.000302570876672578,0.00509089911067226,0.0879817119511527,0.00773403964710624,0,0.00849110045760116,0.033971528626068
"kilb29",28000,0.00492518752945723,0.00740086018361388,0,0.00245102972612504,0.00235506101691858,0,0.000785020338972862,0.00157155552877018,0.0518060224793885,0.00480609074304363,0,0.00335514685151151,0.000785020338972862,0.018593686641618,0.000786535189797321,0.0346758253933356,0.00816426763440399,0.711621719009447,0,0.00754157019641017,0.0898713551063209,0.00749682923102027,0,0.00744905822578152,0.0335581574614394
"kilb30",29000,0.00571577221661172,0.00835561967580606,0,0.00228898055246442,0.00337584927884538,0,0.00112528309294846,0.00178564903449385,0.0607435280459918,0.0056648298313098,0,0.0034652060307148,0.00112528309294846,0.0164272363258824,0.000338338887995497,0.0319697854261478,0.00723412063479939,0.701395584245558,0,0.00904320916354426,0.0923120598288172,0.00662469707855592,0,0.00642412727434269,0.0345848395050253
