"","YrBP","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Betula","Carya","Castanea","Corylus","Cyclachaena.xanthiifolia","Ericaceae","Fabaceae","Fagaceae","Ilex","Iva","Leitneria.floridana","Liquidambar","Magnolia","Myrica","Nyssa","Onagraceae","Ostrya","Pinus","Plantago","Poaceae","Polygonaceae","Quercus","Rosaceae","Salix","Ulmus","Viburnum","Vitis"
"gosh21",20000,0,0.0092988911098008,0,0.0073262551301992,0,0.0237319427349801,0.00441619517290837,0.0419334287212749,0,0.00439840637450199,0.00409452596462151,0,0.0371244093000797,0.00357118709545817,0.0205126295623904,0,0,0.0527155240025498,0.00216188972430279,0.00225430544860558,0.00118446618326693,0.0182878089555378,0.0139799172866932,0.460675386259283,0,0.0351012581781673,0,0.224712610347092,0.00204726298231076,0.00646345815521912,0.000977423716972112,0.0230308156815936,0
"gosh22",21000,0,0.00798754389228379,0,0.00725175858208182,0,0.0273458677483169,0.00578018759848093,0.0400212187219057,0,0.00907992404626273,0.0034893316809943,0,0.0451491209970654,0.00275354637079234,0.018728633792163,0,0,0.0493742379882617,0.00403552175798377,0.00174466584049715,0.00201776106059037,0.0104679950429829,0.0117499704301743,0.447780859639392,0,0.0353334112774038,0,0.233839245034352,0.00174466584049715,0.00752485343897808,0.00201776106059037,0.0247819166107371,0
"gosh23",22000,0,0.00715496404344302,0.000163404577727346,0.00703160758664289,0,0.0316122219773059,0.00727510784211379,0.0363697139854109,0.000163404577727346,0.0125790241530232,0.00304205189884908,0,0.0478746657377209,0.00259188622564435,0.0149409587547414,0.00114383210504134,0,0.0505498602992381,0.00575408192316421,0.00119421676349489,0.00279533892429891,0.00716530058096936,0.0109811146503485,0.43286330909953,0,0.0381135671457286,0,0.243344724697682,0.00119421676349489,0.00797911087242665,0.00279533892429891,0.0233269750244772,0
"gosh24",23000,0,0.00713415191007539,0.000505689902673064,0.00728300224756683,0,0.035810724692255,0.00847953100424949,0.0306120320093215,0.000544329948732008,0.0140644276901988,0.00329140879561343,3.86400460589445e-05,0.0455807153288554,0.00219703881096642,0.0103970628592186,0.00508543167786155,0,0.0469743635621659,0.00675654659136395,0.000672964544208362,0.00316406867169294,0.0038059469888965,0.0105427747873886,0.448370117527485,0,0.0413085167873886,7.72801093899931e-05,0.236057425921316,0.000711604607539411,0.00751950568498972,0.00316406867169294,0.0197733481735435,7.72801093899931e-05
"gosh25",24000,0,0.00653356722350611,0.000700998441729944,0.00808374642324199,0,0.0398164046323319,0.00885172450621767,0.0247725029431055,0.000978209307362166,0.0134697920105645,0.00321946034598877,0.000277210865632222,0.0417387745777484,0.00170437683525916,0.0063595289197755,0.0159954263332233,0,0.0396417945718059,0.00668757260878178,0.000484944024430505,0.00327049821855398,0.0012463989527897,0.01014243246506,0.477768461578409,0,0.0463180865645428,0.000554421855177726,0.215055159708595,0.00076215501397601,0.0064020404846484,0.00327049821855398,0.0153393904397491,0.000554421855177726
"gosh26",25000,0,0.00652899117189021,0.00107085260229706,0.00859802568639284,0.000379794088767763,0.0402172318216858,0.00854175737882032,0.0189271222522873,0.0015337834117189,0.00948024138602297,0.00447330791006424,0.000462930809421842,0.0308358147771073,0.00124325724002336,0.0035398744243722,0.0317101164405295,0.000189897001751995,0.0272499444745961,0.00528429317617286,0.000842724898189605,0.00256965128596457,0,0.00941658231847382,0.543113202490559,0,0.0524092380776718,0.000925861825773798,0.171580857477127,0.00149555291629356,0.0042134405738758,0.00275954828771657,0.00948024138602297,0.000925861825773798
"gosh27",26000,0,0.00650377223428173,0.00123343481169083,0.00915584470904721,0.000746915746802078,0.0394345306698969,0.00790038870726413,0.0157850538720056,0.00197376542925808,0.00571192485851616,0.00525765435056981,0.000542157309558881,0.0214734577889759,0.00124482312652144,0.00251877508613071,0.0442985034739127,0.00032391447368013,0.0180175699013102,0.00382711619830995,0.00128907305636096,0.00178945478812311,0,0.00858717774556167,0.592549403569114,0,0.0581710837766494,0.00118340151546632,0.136029673179704,0.00205605842794015,0.00249459473261493,0.00250971582936662,0.00561283820451198,0.0017779213425847
"gosh28",27000,0,0.00587522128209753,0.00127003460284739,0.00941072870025124,0.001039348013786,0.0387167260997874,0.00723497834793532,0.0143775438705791,0.00223402477562327,0.00326760991754171,0.00537519169876957,0.000594628817625459,0.0164541345154931,0.00139414646067126,0.00184311601082265,0.0556119665388134,0.000412635688719964,0.0118431720057334,0.00278244547845133,0.00163397683141145,0.00127319186445919,0,0.00744818893074792,0.621197428879856,0,0.0637326280112736,0.00146212589911744,0.110741555939509,0.00266233138890678,0.00135712597152612,0.00301246572563293,0.00305353346646911,0.00268779284919152
"gosh29",28000,0,0.00468264763821348,0.00126247320204633,0.00914456431465195,0.00131679262941887,0.0373898441931942,0.00642754976461459,0.0146628151986549,0.00229857620969133,0.00159614294131172,0.00511470798965339,0.000626763284704259,0.0153002576768408,0.00161240587325401,0.00143742076174053,0.0668573171957234,0.00049620709294706,0.00747575726855205,0.00193550532632063,0.00202262390894982,0.000912891822728057,0,0.0059522327120768,0.636629619943553,0,0.0687450294811174,0.00176988099626372,0.0913358122144623,0.00351005221325516,0.000572257024544462,0.00421079217675461,0.00128757831810082,0.00341347891027189
"gosh30",29000,0,0.00389253936943949,0.00141181786368304,0.00816800260558889,0.00170752826193179,0.0344482721364791,0.00576046812599319,0.0167058759874061,0.00223703477217448,0.000400685841305875,0.00521216939062753,0.000468443049781093,0.0161079020686449,0.0021876922268526,0.00130684242062591,0.0738179320714556,0.000586978314469488,0.0045847619402735,0.00136790588108751,0.00284039901324253,0.000468443049781093,0,0.00435246473833847,0.648655475550403,0,0.0709481368066051,0.00178216997416356,0.0774760643212259,0.00394467095584022,0,0.00541763446965029,0,0.00374168680622669
