"","YrBP","Abies","Alnus","Apiaceae","Artemisia","Asteraceae","Cupressaceae","Eriogonum","Fabaceae","Galium","Onagraceae","Picea","Pinus","Poaceae","Polygonaceae","Populus","Quercus","Ranunculaceae","Rosaceae","Salix","Spiraea","Stellaria","Thalictrum","Tsuga.heterophylla","Tsuga.mertensiana"
"farg53",52000,0.195873787111853,0.0247465158397438,0.00374882377101361,0.0734376803626063,0.0489591113688198,0.0198927394853334,0.00679890806302177,0.00373882419292494,0.00346266259193573,0.000265348611005222,0.0205680982177315,0.253837544334474,0.235705440092641,0.00273436715592002,0.0141480051504689,0.000358234549994282,0.000277505502935234,0.0145569693559353,0.00805780063994778,0.00123325444405901,0.00196145565764495,0.00996445145216902,0.0032356577559753,0.0524368141067358
"farg54",53000,0.183348710374026,0.0192709091903359,0.00299798829722067,0.0716255779454296,0.0538716516924648,0.013971826920502,0.00735243418156598,0.00342416012634521,0.00344147649767796,0.000292340973019664,0.0216559290826584,0.251494315194462,0.254261652155643,0.00247173067650018,0.00719014069044256,0.000201004790732178,0.000258697257192216,0.0157623623742391,0.00612509410961841,0.000817771165255831,0.00214354640838372,0.00848156831951629,0.00149404471351049,0.0680450667462832
"farg55",54000,0.159455135814461,0.0170964921130478,0.00246422674314601,0.0661700477706661,0.0559210570465852,0.0139930001979717,0.00735604242999198,0.00324688282845511,0.00340571987386374,0.000309166759857974,0.0247557676436239,0.264808387683983,0.257233466013026,0.00219480640969814,0.00166276594247129,0.000174526476244026,0.000292902839002905,0.0157976231778236,0.00504895849616302,0.000818916966784327,0.00214951645890732,0.00715430909197305,0.00310792492706088,0.0853823561791147
"farg56",55000,0.138195838467401,0.017818626841834,0.00205120933759009,0.0604379512875023,0.0555114856736239,0.0153519306770014,0.0072393549371199,0.00284524418639971,0.0032660749912363,0.000277120457014823,0.0291846207945497,0.279777013328561,0.250105659596837,0.00205452598583901,0.000926658143342789,0.000132152981225373,0.000369026207613602,0.0151078326489443,0.00451020076545513,0.00101505060869085,0.00224235245198177,0.00602227957372435,0.00563836877555435,0.0999194211863997
"farg57",56000,0.120455748997045,0.0190525150297294,0.0017035480837408,0.0552257267151673,0.0541520408211251,0.0169174282156421,0.00655812513975789,0.00266979757812723,0.00321191500922146,0.000203903873320674,0.0346781628206504,0.298495894138073,0.238379742648433,0.00196702992290529,0.000411173350949442,8.52722080702587e-05,0.000446178345074769,0.0135649505163067,0.00400061056077617,0.00125076794553762,0.00221296821125089,0.00535585525485402,0.00869687966955851,0.110303764824982
"farg58",57000,0.109610723035929,0.0198426457203071,0.00140412500518565,0.0486508829087019,0.0493539287206647,0.0181821862006565,0.00556343106433525,0.00255935665101605,0.00316433557293755,0.000135879242563192,0.0409821986214221,0.332041509427484,0.216663310267406,0.00180608325338153,0.000113223037691748,4.95587270892672e-05,0.000446667663213825,0.0111360857467462,0.00370849880044193,0.00146418458982284,0.00188158341884971,0.00517046351570383,0.0117744660611166,0.114294672605188
"farg59",58000,0.11084958287126,0.0215243928138064,0.00127586439713976,0.0422258589741935,0.0431091557314977,0.0202959877176357,0.00463191100342526,0.0024345245812694,0.00298223857943966,9.03757178113473e-05,0.0444931090597225,0.369229949103504,0.191289117771474,0.0016504574789654,6.34307217342936e-05,1.94549069032145e-05,0.000390236772586217,0.00864882884542421,0.00380248455468704,0.00180966446213186,0.00148001210808595,0.00540521803101762,0.0157872863709673,0.106510857237426
"farg60",59000,0.118270584088279,0.022802878207635,0.00113781206424098,0.0379464877012228,0.0381852433030122,0.022440765819147,0.00384501080232628,0.00211563789462173,0.00282504623234914,3.3995855214236e-05,0.0482107338590516,0.388864771703887,0.172504331056864,0.00156211597659807,1.78329294363257e-05,0,0.000364805236226265,0.00689920634870265,0.0040136781215429,0.00213704108056467,0.00124436836262054,0.00540475192593697,0.0189460546873248,0.100226846580276
"farg61",60000,0.125763722775204,0.022748423247639,0.000926930600844056,0.0333369098539429,0.0338251180824283,0.0236868962006257,0.00291633089889033,0.00212321366538779,0.00278283144327706,0,0.0508076831780781,0.410914386229164,0.156839667427813,0.00134424334508913,0,0,0.000296197124188407,0.00514495126251328,0.0042278329625487,0.00225974115060205,0.000810937687758234,0.00540399472689175,0.021108573707325,0.0927314142615689
"farg62",61000,0.137821533308048,0.0232880268457749,0.000740286918262706,0.0289140835141004,0.0277524147393556,0.025527256067109,0.00236124487422712,0.0020477921621676,0.00263156651203941,0,0.0519379725665812,0.436406774732821,0.137993413379681,0.00095280060443372,0,0,0.000142952294777057,0.00345512659558639,0.00468303847066807,0.00253203830824913,0.000316223054541799,0.00537476917734882,0.0240081436937114,0.0811125420572061
"farg63",62000,0.160961997005189,0.0273772507671895,0.000932181821559146,0.0250037087300389,0.0218006390791367,0.0313322439009317,0.00181315593926171,0.00201242828081142,0.00204209442021465,0,0.0485839408825333,0.454895553103314,0.119986624816724,0.000578090045406298,0,0,0,0.00227629524625545,0.00574161496603373,0.0033758246333294,0,0.00550517304646774,0.0304921130321972,0.0552890702299799
"farg64",63000,0.232021825843553,0.0385350730078616,0.00118559621462264,0.0219880401462264,0.0114424329331761,0.0498471026265723,0.000104357971698113,0.00118559621462264,0.00108123824292453,0,0.0592245265605346,0.375822245195755,0.0979998915566038,0.000623709084119497,0,0,0,0.00160180871462264,0.00795167405660377,0.00580458166352201,0,0.00372296863993711,0.0449345884009434,0.0449227434709119
"farg65",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg66",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg67",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg68",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg69",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg70",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg71",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg72",71000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg73",72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg74",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg75",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg76",75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg77",76000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg78",77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg79",78000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg80",79000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg81",80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg82",81000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg83",82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
