"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Camassia","Caprifoliaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Fabaceae","Gentianaceae","Lysichiton","Malvaceae","Myrica","Onagraceae","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Ranunculaceae","Rosaceae","Rubiaceae","Salix","Sanguisorba","Tsuga.heterophylla","Tsuga.mertensiana"
"kala45",44000,0.0576484261381771,0.00817313834153635,0.00371161033855014,0.0319318986647581,0.0104691074244309,0.0412960761823178,0.0152622197194719,0,0.00197907428438429,0,0,0.0167567366861467,0,2.06005960794483e-05,0.0485391568742027,0,0,0.00167131245116458,0.127042956714323,0.159157417432373,0.190076346046044,0.00332291918987114,0.00965302170972275,0.00976983033024396,0.00626594571505945,0.00884578718409111,0.00130460153077595,0.00416110885434904,0.216283645679049,0.0266570623660994
"kala46",45000,0.0614964410102845,0.00937385767997234,0.00319809385550044,0.0346793445973719,0.00995779905482505,0.0449952910643539,0.0135475463618872,0,0.00204594136212623,0,0,0.0161154262816945,0,0,0.054197914599562,0,0,0.00173033209505371,0.143834090645315,0.151936342134945,0.177712734607994,0.00311489586154562,0.0097084322530354,0.00846430803131884,0.00575080805807391,0.010273296442417,0.00184344498030619,0.00395023878590396,0.203093846559163,0.0289795740906308
"kala47",46000,0.0683462771067151,0.0106087168838016,0.00252861886025862,0.0372562487697018,0.010174938296514,0.052405277419255,0.0128215040295522,0,0.00244982320929023,0,0,0.0155007312490312,0,0,0.0585944096615319,0,9.096187674313e-05,0.00163436646420714,0.160296463821611,0.139126842370502,0.169592756367328,0.00284148436410971,0.00969859777999198,0.00759521674752997,0.00520592614062755,0.0107431403386533,0.00243221879739793,0.00398384207807547,0.186990079795149,0.0290815578982228
"kala48",47000,0.0770912594596038,0.0120178005680999,0.00159738082275889,0.0401568394849475,0.0100692035993297,0.0608348695266087,0.0125238931211956,0,0.00302390400722665,0,9.34948057207135e-06,0.0142170765949496,0,0,0.0581261617113611,0,0.000218947001808958,0.0014942078558573,0.172247682058112,0.131969633541673,0.172003872273134,0.00255112465893345,0.00975822472244439,0.00669884605799683,0.00465144815733799,0.0109981288100503,0.00342224882511421,0.00419306934964762,0.160838118132834,0.029286710391901
"kala49",48000,0.0893363415924115,0.0131299543980474,0.000857426002417849,0.0426981163816437,0.0108220561989971,0.0697491669119536,0.0122883837885999,0,0.00364106932126018,0,0.000641933322886554,0.0135008903149381,0,0,0.0501129379488053,0,0.000620227554227857,0.00135609075543533,0.172237110619215,0.126261372499201,0.187451272854031,0.00202856621154004,0.00995894345609505,0.00655385664663214,0.00365330738202491,0.0107474137736247,0.00488475530518945,0.00483378754245713,0.13294348189805,0.0296915374092293
"kala50",49000,0.104243855170712,0.0138229787612591,0.000368509459233609,0.0429680272937933,0.0121158785716238,0.0746945284450892,0.012660400049344,0,0.00545290951974603,0,0.00143027852555383,0.0141976001872059,0.000118259157575727,0,0.0395935714718975,0,0.00142437277533399,0.00145592672377919,0.162388821779969,0.119067993137306,0.205542045085463,0.00155214101714022,0.0108743800409477,0.00635148659437304,0.0023413200473219,0.00920685777225868,0.00546643663172878,0.00606532848541591,0.117213116517237,0.0293829768034141
"kala51",50000,0.111792870657438,0.0147263382723372,0.000138415429474051,0.0434566145492588,0.0137381231285348,0.0768603097906919,0.01397868582629,0,0.0073745870768767,0,0.00220625070085956,0.015925120580143,0.000520206923766101,0,0.0303098337046316,0,0.00230375863463637,0.00129281657931584,0.144380626470892,0.115176627533463,0.216024656863687,0.00122243007043875,0.0118484077850811,0.00687073855854698,0.00164410209563246,0.00723329300311433,0.0059510661766998,0.0072781822251688,0.118516621733986,0.0292293156286469
"kala52",51000,0.114785209467127,0.0171554030390212,0,0.0458086435194882,0.0143863301131376,0.0752394243772218,0.0150996575340101,6.40328370606869e-05,0.00922425395694296,0,0.00298139209249956,0.0180208220211319,0.00103030622357636,0,0.0221878644706343,0.000195501159162904,0.00321190778246489,0.000990271504856452,0.122933457295932,0.111127886921578,0.210527483699768,0.000777490877862862,0.0124976841125839,0.00802945508827916,0.000978694151116211,0.00523918674609264,0.00642682696700506,0.00757791021228206,0.135085741006016,0.0384171628586915
"kala53",52000,0.115867446058379,0.0204104315964417,6.99344113714377e-06,0.050495669903239,0.0151237378920582,0.0744271320727279,0.0154199453681548,0.00133563172067833,0.0108053889207961,0,0.00373411308907759,0.0203594129654746,0.00156580204781173,3.70820648648918e-05,0.0165926975557496,0.000557418922731899,0.0042581132998623,0.00071291118936098,0.101844310373843,0.101709455654546,0.192759800670217,0.000468023314819989,0.0127805099761565,0.00922377234844735,0.000315055147147162,0.00329458129534206,0.00615977018528479,0.00714994761071086,0.160471821281153,0.0521130241541171
"kala54",53000,0.111804246160966,0.0307586620342061,0.000300777750683224,0.0538423286293886,0.0151246019379214,0.0728545122687363,0.0146911047732047,0.00293210888322861,0.0117251593296579,0,0.0031984504692699,0.0216079707232296,0.00210025752068123,8.19940226660682e-05,0.0152561132102883,0.00113518264403052,0.00481705720348095,0.000670735308717335,0.0881442732987433,0.0913860773089068,0.170968706226745,0.00028465940625374,0.012436349835767,0.00909004810281269,0,0.00166592209313285,0.00469707257267105,0.00662177596782865,0.186915818428885,0.0648880340837223
