"","YrBP","Abies","Amaranthaceae","Apiaceae","Arceuthobium","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cupressaceae","Ephedra","Phlox","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Ranunculaceae","Rosaceae","Sarcobatus.vermiculatus"
"gray33",32000,0.0040213409243595,0.0485700709747865,0,0,0.329874106485563,0.0425613084749898,0,0.00767265425037278,0.00760884722719263,0.000742641846956757,0,0.0173237380051511,0.498689460546564,0.0296972426947269,0,0.00309368495648638,0.000742641846956757,0.00278296790361936,0.00661929470706249
"gray34",33000,0.00465465394433102,0.0374906666817749,0,0,0.369167927000681,0.0460384505566898,0,0.00638081155097319,0.0101032130958214,0.000738462969239145,0,0.0173091690328025,0.45772016988594,0.0346635923450388,0,0.00245194255124541,9.44303668163876e-05,0.00532006897441132,0.00786644189247312
"gray35",34000,0.0047398676577664,0.0309798123062668,0,0,0.421805772904657,0.0537284219757376,0,0.00556364004572056,0.0133051460613265,0.00117163576322848,0,0.0154819237849305,0.39275465227408,0.043157201461107,0,0.00161018409217264,0,0.00704577917032431,0.00865596326249695
"gray36",35000,0.00473321522810259,0.0264242133814388,0,0,0.465554739009346,0.0604540704243643,0,0.00497431956694197,0.0159535349918496,0.00157441920560748,0,0.0137790711675723,0.337712282542056,0.0503894825455336,0,0.000912740482938492,0,0.00831258582427733,0.00922532630721582
"gray37",36000,0.00474043028368717,0.0217639167554159,0,0,0.495235370139081,0.061160646597162,0,0.00497339705968371,0.0175617221885832,0.00209768788236568,0,0.0127455800025997,0.303958108163128,0.0572673537536828,0,0.000389010607019064,0,0.00885888326527296,0.00924789387229203
"gray38",37000,0.00476630058397171,0.0162205070129641,0,0,0.511953464114319,0.0543886228391279,0,0.00571453235827932,0.0181169699758397,0.00285726617913966,0,0.0123898667613435,0.291617131644667,0.0648066001573365,0,0,0,0.00858436939363583,0.00858436939363583
"gray39",38000,0.00475767347670524,0.0155999236029233,0,0,0.510485603051614,0.0514886942882156,0,0.0060020737522838,0.0178340452058465,0.00299307817752741,0,0.0125084245173569,0.296062381210566,0.0656943749497564,0,0,0,0.0082868640750609,0.0082868640750609
"gray40",39000,0.00390841512122845,0.0247937243577586,0,0,0.540204078815194,0.0464078780684267,0,0.00614421289601293,0.0159032501637931,0.00265454175107759,0,0.0104713714493535,0.273317511636315,0.0633626922898707,0,0,0,0.00641616186153017,0.00641616186153017
"gray41",40000,0.00268732736317863,0.0380128319229422,0,0,0.582934146419221,0.0391025363583625,0,0.0063485845895359,0.0131270982732049,0.00216778447241681,0,0.00754243875437828,0.240614292861427,0.060010132808669,0,0,0,0.00372641314470228,0.00372641314470228
"gray42",41000,0.0012396719639773,0.0554845637179867,0,0,0.638053988641253,0.037622072517888,0,0.00586964998889711,0.0104996270138169,0.0012396719639773,0,0.00371901563779916,0.190054587339255,0.0537378072871947,0,0,0,0.0012396719639773,0.0012396719639773
"gray43",42000,0.000472953345145287,0.0693730204982282,0,0,0.673864560879518,0.0439608230935507,0,0.00460828807583274,0.00874362184904323,3.45715733522325e-05,0,0.00295319631467045,0.148660086096386,0.0470405442416726,0,0,0,3.45715733522325e-05,0.00025376245924876
"gray44",43000,0.00197579146337502,0.0597768575184343,0,0,0.620732568157707,0.0397067879982134,0,0.00466220619701153,0.00734862012229982,0,0,0.0128426448952412,0.200405090754263,0.0515615371617671,0,0,0,0,0.00098789573168751
"gray45",44000,0.00365019100860809,0.0488019291442261,0,0,0.561260938630339,0.0348358074882248,0,0.00476114788939419,0.00587210412424882,0,0,0.0237262422640897,0.258529589698554,0.0567369542480104,0,0,0,0,0.00182509550430404
"gray46",45000,0.00525123479590396,0.0409659518456215,0,0,0.527008691784181,0.0353703404997175,0,0.00422649315748588,0.00382254747076271,0,0,0.0325810360108757,0.284063920538842,0.0606697865820621,0,0.00248318535833333,0.000620796372175141,0,0.00293601558403955
"gray47",46000,0.00637215397221241,0.0374436684562581,0,0,0.511520912315672,0.0361250654624985,0,0.00359504951783822,0.00233621870057695,0,0,0.0379533731249264,0.292071405053574,0.0629158889943483,0.00022003748157306,0.00431279540056517,0.00107819890674673,0,0.00405523266183916
"gray48",47000,0.00690846083154051,0.0386789201775387,0,0,0.517546034621237,0.0373907243158986,0,0.00289018745830455,0.00150749861087536,0,0,0.0392624963692885,0.280016804026448,0.0632122120348367,0.000630974571301688,0.00549454163002072,0.00137363547962104,0,0.00508751001253331
"gray49",48000,0.00679213741689642,0.0452025442534462,0,0,0.554111305524813,0.0420081594159118,0,0.00193882640606538,0.00107508392388736,0,0,0.0357875981400158,0.235742136804451,0.061141726475384,0.00107508392388736,0.00735760233723907,0.0018394006808783,0,0.00592839493471839
"gray50",49000,0.00609165127339548,0.0535384659768734,0,0,0.599303787281284,0.0465039991957691,0,0.00130298332556472,0.00138431689951596,0,0,0.0294972048861599,0.186426171691108,0.057887279856938,0.00138431689951596,0.00840547044971316,0.00210136772275009,0,0.00617298484734672
"gray51",50000,0.00560126906910683,0.0587849174171556,0,0,0.629412861856571,0.0474094372290211,0,0.000873748996926516,0.00223144084651206,0,0,0.0258432362914222,0.157972503096954,0.0541968599417901,0.00185976774993015,0.00723266672841576,0.00180816677703269,0.000185836548290956,0.00658728782211046
"gray52",51000,0.00509836245918676,0.0607053464881445,0,0,0.661281548261931,0.0503011541779841,0,0.000426476034708909,0.00343982491242054,0,0,0.0237956781429725,0.129639544782767,0.0483869809039451,0.00209420408324084,0.00591358325728988,0.00147839589193825,0.00067281041458985,0.0067660905077187
"gray53",52000,0.00462443625876106,0.0600083516422419,0,0,0.695163202566608,0.0549401080328024,0,0,0.00459150580613569,0,0,0.0226612433764012,0.100473475584897,0.0410933043448968,0.00191513506418879,0.00466807134666667,0.0011670178979351,0.00133818537097345,0.00735596293498525
"gray54",53000,0.00461152888412979,0.055417536421003,0,0,0.703422499203776,0.0558263424870796,0,0,0.00516034439020649,0,0,0.0243058805445428,0.0999955188887316,0.0360286933714454,0.00138122509368732,0.00242056468,0.000605141201769912,0.00188955964825959,0.00893516541286136
"gray55",54000,0.00461877552369565,0.0479689907329348,0,0,0.710302165062717,0.0545386516008696,0,0.000382545383152174,0.00527769844641304,0,0,0.0250531402380435,0.104681688476304,0.0323494318313043,0.00116308839065217,0.000541965672608696,0.000422400457608696,0.00224857771945652,0.0104508807526087
"gray56",55000,0.00463942916496251,0.0442258727261661,0,0,0.715361719722855,0.0530199049205375,0,0.000815443229623138,0.00442053020070114,0,0,0.023435131120557,0.104962027980037,0.0326829180580388,0.00107409632817217,0.000815443229623138,0.000815443229623138,0.00208093855107605,0.0116511019769208
"gray57",56000,0.00465008111084067,0.0448067060622543,0,0,0.720557089056263,0.0493625103785808,0,0.00123835943877551,0.00312605522954503,0,0,0.0196310215755476,0.102792906200337,0.0352739498002247,0.00123835943877551,0.00123835943877551,0.00123835943877551,0.00156302761477251,0.0132832159579667
"gray58",57000,0.00467192832419484,0.043509297001597,0,0,0.718109865643776,0.0456356800010647,0,0.00160434074394464,0.00228953495856623,0,0,0.0175068419083489,0.108663286722385,0.0378498413031674,0.00160434074394464,0.00160434074394464,0.00160434074394464,0.00122278276435099,0.0141235792547245
"gray59",58000,0.00472543511152515,0.0359716914652648,0,0,0.706289448821844,0.0423749928393222,0,0.00203503624567474,0.00189740595492858,0,0,0.018164405034957,0.127346992072398,0.0395238905445834,0.00203503624567474,0.00203503624567474,0.00203503624567474,0.00124524847280632,0.0143203453801792
"gray60",59000,0.00476937231575812,0.0310444942513157,0,0,0.693581399043888,0.0409005414796942,0,0.00206061239946381,0.00168463673100983,0,0,0.0195675250967133,0.143385087414159,0.0403168429180816,0.00206061239946381,0.00218053390676199,0.00206061239946381,0.00141876740512362,0.014968962682951
"gray61",60000,0.00481711208791324,0.0275514074675721,0,0,0.675699032110444,0.0421115733636555,0,0.00167383222520531,0.00174109755274795,0,0,0.0228955841518214,0.16089181469741,0.0404403288619709,0.00167383222520531,0.00230961317909033,0.00167383222520531,0.00174109755274795,0.0147798424088229
"gray62",61000,0.00514274228143651,0.0240451227152706,0,0,0.657453247784009,0.045145851507306,0,0.00113641587518008,0.00240544309487549,0,0,0.027546535584894,0.177970838723606,0.0387641417381148,0.00113641587518008,0.00225491407439802,0.00113641587518008,0.00220858742086849,0.0136533271454003
"gray63",62000,0.00635147422978437,0.0257208966633616,0,0,0.644927540542645,0.0478348360850982,0,0.000595814446958028,0.00322300874894109,0,0,0.0300223173561802,0.187988135025414,0.0363252745528494,0.000595814446958028,0.00210722025173277,0.000595814446958028,0.00220176351983057,0.0115100892249711
"gray64",63000,0.00754917783009241,0.0331457275258953,0,0,0.642231826160666,0.0500083907635734,0,0.000128508998363496,0.0035858836045437,0,0,0.0296632079992299,0.185322460015787,0.0351316033938198,0.000128508998363496,0.00210496274306893,0.000128508998363496,0.00172755212206392,0.00914368058038121
"gray65",64000,0.00866546337736738,0.038201749233393,0,0,0.642445624468294,0.0505618115426364,0,0,0.0038650431436917,0,0,0.0285397092971827,0.183003830212381,0.0342586285762744,0,0.00216214647130877,0,0.00122676938132479,0.00706922424564214
"gray66",65000,0.00974854074816482,0.0425453587348537,0,0,0.647084272029167,0.049086941681707,0,0.000238375631985906,0.00462217194049134,0.000238375631985906,0,0.0262162004113732,0.180899853435255,0.0303825733166291,0,0.00177311759812078,0,0.00079216946696682,0.00637204941871391
"gray67",66000,0.0100843488672405,0.0484410879540253,0,0,0.657341463227544,0.0468079696621772,0,0.000654961198177215,0.00533465226896203,0.000654961198177215,0,0.0225750296225823,0.173745943579949,0.0259106908492152,0,0.00134531893670886,0,0.000320758222177215,0.00678281456131646
"gray68",67000,0.00803652898830156,0.0541818833516031,0,0,0.684110325836222,0.0436909811960572,0,0.00113734833535529,0.00649297548873484,0.00113734833535529,0,0.0163972300738735,0.151981500111352,0.0214854611336655,0,0.000915739438908146,0,0,0.01043267790013
"gray69",68000,0.00562944254982669,0.0568919018741334,0,0,0.708669523734835,0.0407448498052426,0,0.00157411804939341,0.00762284398960139,0.00157411804939341,0,0.011391891252383,0.13321216237305,0.017314168997617,0,0.000392459759532062,0,0,0.0149825196462305
"gray70",69000,0.00326476704492723,0.0594315496047247,0,0,0.73121902192259,0.0382032052997258,0,0.00195786920818393,0.0085219406994305,0.00195786920818393,0,0.00685501996329888,0.115373947535119,0.014070062638262,0,0,0,0,0.0191447468755537
"gray71",70000,0.00146271480698728,0.0597381412758249,0,0,0.747844398338365,0.0376554304649558,0,0.00191134420616778,0.00931259651153763,0.00191134420616778,0,0.0041054165007548,0.100719064213931,0.0138666423273668,0,0,0,0,0.0214729071479405
"gray72",71000,0,0.0573028249684543,0,0,0.762928065325272,0.0377981354409394,0,0.00159990047528917,0.010381023658605,0.00159990047528917,0,0.00173603537960042,0.0888727862400981,0.0143976339740624,0,0,0,0,0.0233836940623905
"gray73",72000,0,0.0505636310232835,0,0,0.756873235232041,0.0383549825689906,0,0.00127811749808176,0.00981464075856595,0.00127811749808176,0,0.00202285418891388,0.0991503215278476,0.0168392955660802,0,0,0,0,0.0238248041381135
"gray74",73000,0,0.0417694915238603,0,0,0.748972138911267,0.039081626046501,0,0.000858214997408141,0.00907555381826498,0.000858214997408141,0,0.00239713108919043,0.112561729444885,0.0200254796743406,0,0,0,0,0.0244004194968745
"gray75",74000,0,0.029811423440367,0,0,0.738228410347005,0.0400696990895845,0,0.000287241260658392,0.0080705604414463,0.000287241260658392,0,0.00290606418672423,0.130798252640583,0.0243579793459255,0,0,0,0,0.025183127987048
