"","YrBP","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Arecaceae","Artemisia","Asteraceae","Carya","Celtis","Ceratiola.ericoides","Combretaceae","Cupressaceae","Ericaceae","Eugenia","Fraxinus","Ilex","Iva","Liquidambar","Myrica","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Rhus","Rumex","Sabal","Serenoa","Taxodium","Ulmus","Vitis"
"tula31",30000,0.00135674137136301,0.0371054016609346,0.102460483156192,0.000607817629690898,0.00121652608367241,0.000373803134500193,0.0280058639968383,0.0164979265497138,0.000765582284889073,0.00157161141191852,0.000145860141117144,0.00724273057147241,0.00901267270930775,2.1556049573767e-06,0.00489324367757041,0.00114857034237383,0.0182989637670326,0.00192418381105671,0.00979700382483758,0.00552402622302859,0.473791020810203,0.115117611030497,0.00403504448482504,0.148569395501061,0,0.00167910794502328,0.000544985936605344,0.000286345262823677,0.00294008800657693,0.00458912537052255,0.000496108083365573
"tula32",31000,0.0014237883045268,0.0373395125823911,0.0932001612340993,0.000770975698465788,0.00129478982730978,0.000381482045701364,0.0273627790913215,0.0175703609998781,0.000951159221181059,0.00257993786579371,0.000179948242386491,0.00755277748530109,0.00944712391306585,0,0.00533215426490541,0.00137125449972241,0.0192344633505938,0.002342078678953,0.0112190604889301,0.00636222680223158,0.471399493779212,0.115526310264012,0.00400705487525897,0.152019420196658,0,0.00162041813679264,0.000619243778818941,0.000269401852699427,0.0035268178027326,0.00477475433076954,0.000321050851453642
"tula33",32000,0.00160063942786897,0.0389700140653939,0.0916182861477508,0.000983508333012842,0.00138419531311036,0.000370315792500515,0.0277580718429916,0.0198554730746377,0.00106573740425795,0.00384491334347916,0.000208918434901449,0.00790495380144221,0.0101650488097658,2.55185893963327e-05,0.00602942483762104,0.0016539109792322,0.0214719583410343,0.00288149774917931,0.0126743870705583,0.00722095153698235,0.436389598358918,0.122411582695392,0.00416311988665614,0.167276377330293,0,0.00191103907522835,0.000695137240876313,0.000210102072934551,0.00397490644952956,0.00506677012805439,0.000213642375867042
"tula34",33000,0.00169131687347584,0.0403487735091344,0.092415275161536,0.00123801503009813,0.00137425336966108,0.000399603259767894,0.028573190886761,0.023131059177285,0.00111315101013537,0.00554584606352806,0.00027326045515378,0.00858561469115115,0.0107753070506349,6.21821833186342e-05,0.00709136966665267,0.00202794394769924,0.0237409698294906,0.00349470848722579,0.0146297547944227,0.00841350286371845,0.395223648290034,0.126256470481374,0.00416402617942688,0.186346467055381,0,0.00243928024550278,0.000606012642812146,0.000149761390673778,0.00419407227337505,0.00550388650182689,0.000191277268293366
"tula35",34000,0.00180727819771163,0.040212840100895,0.0919352026585856,0.00145759196152539,0.00136231632902376,0.000414929910065422,0.0302345861333654,0.0280512700921436,0.00110706094895069,0.00916908666070973,0.000416985240717664,0.00995342744774703,0.0125431742476139,0.000113296887988898,0.00828677065069812,0.00252711798051488,0.0235907081416353,0.00416159193209946,0.0164088127631057,0.00947032240342406,0.347816141668795,0.130460724683409,0.00407683236907021,0.209509015277125,0,0.00316477026882664,0.000428762165821745,8.63707471182984e-05,0.00483612170378657,0.00615515890311252,0.000241732166104959
"tula36",35000,0.00194798591224764,0.0405179056514892,0.0923956681695365,0.0014268862554756,0.00132427086494474,0.000403196932879294,0.0306988939224421,0.031086781852066,0.000994596747237214,0.0140035250334533,0.000597040779134184,0.0114878416257746,0.0147773153837345,0.000173473309289243,0.0089627586592564,0.00288888199775836,0.0229034058123304,0.00466575885510723,0.0177078513268654,0.0100349954294669,0.30346840226537,0.136755287574174,0.00392011839621348,0.229514393865716,0,0.00400629126114395,0.000296332600102801,2.16273941574574e-05,0.00574322890633656,0.00696001560484309,0.000315268056169508
"tula37",36000,0.00200260210937365,0.039794078561485,0.0926499005700365,0.00130825907564173,0.00129551587572221,0.00041666100998879,0.0294587353123401,0.0323690896566012,0.000867627771608842,0.0184373667460835,0.000733294599686683,0.0124787187157866,0.0180573794396648,0.000243628388801058,0.00909938504836299,0.00313999331659433,0.0216383266253557,0.00521940228221564,0.0185610360221191,0.0102913760937509,0.271493804516586,0.138891203100434,0.00361640064342177,0.248721206003708,0,0.00416983384049556,0.000169639521774124,0,0.00648400239475121,0.00800169032595073,0.000389842706214608
"tula38",37000,0.00185730871065169,0.0379910691362573,0.0876841876131147,0.00118719847251177,0.00131432195202552,0.000456853257630006,0.02811237772262,0.0331987636890538,0.000858899604062599,0.0223992445415788,0.000837723830667283,0.0132773945888315,0.0215269173613028,0.000288144615280224,0.00887791544767996,0.00346281320204718,0.0192479078435596,0.00558661831328502,0.0191929010035948,0.0104386525534461,0.260642675343921,0.135654548382872,0.00338222566244622,0.261361078840484,0,0.00411025526442988,4.11719262841798e-05,1.95270986631248e-05,0.00745820628383334,0.00908796723198972,0.000445130583850663
"tula39",38000,0.00174342665777121,0.0374943148099798,0.0868119500196093,0.00108583390199681,0.00148722113618811,0.00047994177147902,0.0276496257874564,0.0329099775717977,0.00103204295967615,0.0252566896022308,0.000890441367135126,0.0133827822843341,0.0250348155758459,0.000349882903231363,0.00830509861019796,0.00388927151876947,0.017818773862606,0.00574926350880694,0.0185157086816296,0.00991421006121072,0.243863770388323,0.135425503729074,0.00338855227295043,0.274531481360431,0,0.00395820411383701,0,5.00899501299149e-05,0.00854871706016279,0.00993490375870286,0.000497504507988688
"tula40",39000,0.00150632817492635,0.038067518688212,0.088927030502097,0.000988270367978058,0.00168239232667721,0.000536091786501038,0.0280489821751731,0.0306892955591432,0.00127028814054768,0.0252739026128808,0.00079689040334354,0.0124262694819545,0.0274167892332787,0.000389467840949658,0.00751398606592753,0.00407994930919038,0.0181421965069439,0.00577779872633473,0.0170519519367572,0.00918674683363566,0.22746342167862,0.14005408717005,0.00372321035596221,0.285540185634605,0,0.00360617656980946,0,8.16448942228156e-05,0.00891055330190541,0.0102826945965694,0.000565878641178946
"tula41",40000,0.00130517539521862,0.0386996919211996,0.0946765364624833,0.00108539646688067,0.00188171762166718,0.000582266891869311,0.0310600857548334,0.0283160305912522,0.00171400843684681,0.022413258065623,0.000612606703369831,0.0110593961311288,0.0277135705873679,0.000417260745173915,0.00695511349808716,0.00428640501882063,0.0193107125958841,0.00573041139807689,0.0158128705641646,0.0085794621693124,0.210053686521305,0.142743520475558,0.00424120059924073,0.298007446744734,0,0.00307718085150169,0,0.000113785966844026,0.0084387035164534,0.0105026470006449,0.000609850772979787
"tula42",41000,0.00118955126496361,0.03998554458543,0.104631003715387,0.00119592529039061,0.0021476823976682,0.000522608913827417,0.0360157667341601,0.0261152676678004,0.00230984243592752,0.0185412113806921,0.000454965915995841,0.00978285665164117,0.0252692346182088,0.000449545448061785,0.00673436458698945,0.00452031467240457,0.0215826911324818,0.00560193085000743,0.0149476087321105,0.00795055169509877,0.186074507045195,0.144643970534323,0.00505120721716917,0.31193654067634,0,0.0029452462488044,0,0.000147030625516115,0.00792592816027031,0.0106244482029853,0.000702651986647854
"tula43",42000,0.00126990227034572,0.0418314196211538,0.118984935119999,0.00134026411750947,0.00229266935183425,0.00048325455988652,0.040835843250215,0.023637520511929,0.00283465565614861,0.0148766959457196,0.00032187550402161,0.00831622625348967,0.0220605383986751,0.000458882856202937,0.00670994080347684,0.00452757176179697,0.0249345571804367,0.0053483599457045,0.0140925559883049,0.00710917637667316,0.160380791382045,0.145786672460274,0.00564561722690027,0.324173215847813,0,0.00288403153091282,0,0.000154264467049965,0.00746935013480314,0.0104510614733729,0.000788149482849684
"tula44",43000,0.00138264492521586,0.0415994577475629,0.129513659865333,0.00142558446097546,0.0022813688085136,0.000462872588741373,0.0443447863853867,0.0213829453496116,0.0031317872209018,0.0114671023633058,0.000168116505168199,0.00718930102365921,0.0187677358700987,0.000427181540432643,0.00664578185566181,0.00408924561970414,0.0268431508652245,0.00502785840737474,0.0138826675890508,0.00666801911240058,0.149805309224615,0.143650469707006,0.0060938435635348,0.332409389068053,0,0.00279981431032402,0,0.000150568322935042,0.00729666524691301,0.0102391082003064,0.000853563990344443
"tula45",44000,0.00155049208521577,0.0415517094981617,0.139395303062923,0.00153172607077426,0.0022127216409098,0.00039275252905437,0.0452917777841253,0.0191449978338838,0.00333175107744197,0.00870228870155788,9.01447094407229e-05,0.00661786057524537,0.0158370103506933,0.000401623912868048,0.0065189375289609,0.00355767167850132,0.0275535049074622,0.00460582858917277,0.0137131125865244,0.006329085087833,0.158309208602321,0.13200056365356,0.00591020411405203,0.33413872705546,0,0.00268391756652126,0,0.00014392605449447,0.0074482987421561,0.0101735290508646,0.000861324853357221
"tula46",45000,0.00164815002786528,0.0409535537260645,0.14418866630832,0.00151263652293636,0.00217824555609886,0.000334381915651888,0.0427366748870187,0.0171536530684878,0.00322161068484649,0.00708483060639115,6.10596000282101e-05,0.00605034550329901,0.0139802281483536,0.000373860285470246,0.00625042848786183,0.00285056836331437,0.0273533744186531,0.00424526130438667,0.0130190701761562,0.00602788975447835,0.183099072056279,0.117879383130534,0.00538638019872428,0.330848385696193,0,0.00262317191820647,0,0.000137078979390976,0.00797357338851537,0.0099678420555425,0.000860623228689642
"tula47",46000,0.00180394937726249,0.0396096679493864,0.144299623298578,0.00154867816559285,0.00204236647622123,0.000380604035585451,0.03759353512169,0.0151101270694066,0.00286219086123407,0.0061196756800775,3.15948220569934e-05,0.00557732973042328,0.0131426378239316,0.000309189090200217,0.00593186208728596,0.00195437585762669,0.0255669174614767,0.00388469591261952,0.0116317303718435,0.00603684972902128,0.229137393176478,0.103196717057308,0.00424906558548227,0.31675471089923,0,0.00244652625399726,0,0.000130032347285014,0.00841182064529544,0.00941237118701659,0.00082376211093083
"tula48",47000,0.00185042386495965,0.0376728627138259,0.136928824555967,0.00149167021244876,0.00190687260735332,0.000392568420029465,0.0323827749835383,0.0132465451115328,0.00242704379808801,0.00508465707138739,1.84652669420958e-06,0.0055403682773988,0.0128039764053292,0.000279108894199974,0.0056055997549321,0.00120783149415514,0.0216653752917307,0.00366138362416731,0.0103321402395753,0.006400138463938,0.293328564197076,0.0902781062907699,0.00329465544198373,0.291941477149276,0,0.00209553675922367,0,0.000117413488758647,0.00838930099298616,0.00891660468412119,0.000756328848674097
