"","YrBP","Agave","Alnus","Amaranthaceae","Ambrosia","Anacardaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Celtis","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gentianaceae","Liliaceae","Opuntia","Picea","Pinus","Poaceae","Polemoniaceae","Polygaceae","Polygonaceae","Prosopis","Quercus","Rhamnaceae","Rosaceae","Ulmus"
"cuat36",35000,0.000677593909233704,0.00119937080475149,0,0.013312475276955,0.00253485613356894,0.000387384271962302,0.0683013610462246,0,0.00207693860307977,0.00412206647383036,0.00159226746401324,0.192992575401857,0.00384928943644115,0.0144976091663581,0.0183440083273028,0,0.000272128449035117,0,0.0264902918835689,0.540222578589448,0,0.000672135184169191,0,0.00213889823852799,0.00931614544533266,0.0720233116787277,0.00150088172613037,0.00813677416680691,0.000750440863065186
"cuat37",36000,0.000504476319933148,0.00125135073062345,0,0.011911996465634,0.0013930449122273,0.000529681322231175,0.070233248381771,0,0.00185535560769391,0.00362334365729549,0.00171146690622855,0.202214880457725,0.00112486814659623,0.014664568328976,0.0205625298858447,0.000102509404572179,2.5826980929358e-06,5.12547011072313e-05,0.0285580914803772,0.531960527221685,0,0.000162486781448653,0,0.00179831080072821,0.0107434806881249,0.0686277769184946,0.00114647969976423,0.00872373410317247,0.000573239849882114
"cuat38",37000,0.000297545422510022,0.00117157107403639,0,0.0106963426729263,0.000898210576503238,0.000545329631082331,0.0763788977944496,0,0.0023245019582177,0.00336613741649707,0.00166280368482886,0.216316175578323,4.90124488436633e-05,0.0135056068080789,0.0206547268967314,0.00144659400613629,5.85086613320999e-05,0.000723296986432316,0.0282495651216466,0.51796422678045,0,0,0,0.00136466234967623,0.0112463890777983,0.0663433126348751,0.000719110555041628,0.00838958123296331,0.000359555277520814
"cuat39",38000,0.000140673807049004,0.00111046561673894,0,0.00861756652587134,0.000623613513938248,0.000448242050666754,0.0797895120826514,0,0.00293876319888494,0.00346019015431515,0.00128614952303479,0.220901494515275,0,0.011901746997033,0.0194911285037006,0.00294712610019236,0.000619199011672264,0.00147356301620423,0.0273732497092367,0.521548127518601,0,0,0,0.000921261126145219,0.0100093900247465,0.0646358760373969,0.000268214772912523,0.00711715596155978,0.000134107386456262
"cuat40",39000,2.18881285708793e-05,0.00106725664458457,0,0.00705165694321197,0.000497443779499404,0.0024561033290784,0.0783714833474182,0,0.0040639435276635,0.0038921959076089,0.00133421390791649,0.230295596152332,0,0.0119470016013688,0.0195209582972048,0.00514704777650044,0.00138742242635242,0.00257352382905917,0.0239573324436926,0.512580559171018,0,0,0,0.000471221500249914,0.00897059950720904,0.0686446977210581,0,0.00607929156657311,0
"cuat41",40000,0,0.000746609665020428,0,0.00468212169945674,0.000395356901225699,0.00791194960202936,0.0767928329896736,0,0.00518561398154716,0.00511123112203116,0.00218872930036367,0.234202021246083,0,0.0123331726525389,0.0161408473495263,0.00796245798136757,0.00238762119548332,0.00398122889911552,0.0189746113622772,0.51346644605042,0,0,0,0,0.00646817817909577,0.0708300905267813,0,0.0042069727262156,0
"cuat42",41000,0,0.000515987070986787,0,0.00269617770649424,0.000218983846921563,0.0135209875122294,0.0802611996095961,0,0.00571007734378221,0.0101298533305688,0.00299578964984537,0.231266947568597,0,0.0124964768761128,0.0121935558999157,0.0100251392737794,0.00329273282199419,0.0050125695216006,0.0131797520010777,0.514744420963312,0,0,0,0,0.00383165319946584,0.0733244774541749,0,0.00214272746373348,0
"cuat43",42000,0,0.000353941057112289,0,0.00117213943366619,2.7579084012635e-05,0.0205271539407989,0.0850912183786428,0,0.00469667229463012,0.0163412134297432,0.00413300987217241,0.19664076140539,0,0.0140499282926432,0.00958002072692072,0.0086854626748013,0.00425782805751987,0.00434273123751783,0.0100263946447422,0.543393937239301,0,0,0,0,0.00158123865880375,0.0741150966428062,0,0.000790619285867129,0
"cuat44",43000,0,0.00016192561767515,0,0.000485776813191752,0,0.0291693942103489,0.0951774111359065,0,0.00372954170453396,0.0227152151771448,0.00583387884206978,0.16882298908905,0,0.0160504245575594,0.00826276290802854,0.00713523233782797,0.00373496444255295,0.00367998194999719,0.00912803358801056,0.550854210675656,0,0,0,0,0.000647702430866903,0.0739743374396876,0,0.000436217058654981,0
"cuat45",44000,0,0,0,0,0,0.0290377523375551,0.117990459078469,0,0.0022996073089207,0.0269600849046806,0.00580755046751101,0.144102906608315,0,0.0143345180667952,0.00580755046751101,0.00459921472362335,0.00271941713177313,0.00852819271629956,0.0117096397210903,0.53672993051641,0,0,0,0,0,0.0831445905036894,0,0.00622858540737885,0
"cuat46",45000,0,0,0,0,0,0.0221755779267372,0.142196369797853,0,0.00108015422583082,0.029102745649385,0.00443511558534743,0.13141487951462,0.00204729810854553,0.010612278975669,0.00443511558534743,0.00216030850134873,0.0017420478049741,0.0131767350414329,0.0146455862286901,0.502314178156776,0,0,0,0.00204729810854553,0,0.102270431805945,0,0.0141438789241476,0
"cuat47",46000,0,0,0,0,0,0.0179900788800732,0.16051727038578,0,0,0.0254556800950259,0.00359801577601465,0.117954248415197,0.00544588152212389,0.00812350064650595,0.00359801577601465,0,0.000927469094476655,0.0204658732375954,0.0157425190518767,0.454791297860238,0,0,0,0.00544588152212389,0,0.134032512858895,0,0.0259117547597193,0
"cuat48",47000,0,0,0,0.00104429606596445,0,0.0117503865997367,0.166269012808492,0,0,0.0200502309096774,0.00235007731994733,0.127434055767281,0.00925035021329822,0.00470015463989467,0.00287222533008558,0,0,0.0299128289843318,0.0141527651683344,0.385281850717248,0,0,0,0.00925035021329822,0.0015664440761027,0.173907495630546,0,0.0402074752635945,0
"cuat49",48000,0,0,0,0.00290913302256487,0,0.00389929186724332,0.159848036289896,0,0,0.0134495784203335,0.000779858373448665,0.139371300056976,0.0120217419292967,0.0020418721938072,0.00223442480656889,0,0,0.035910464728344,0.0114617193498182,0.34642032079723,0,0,0,0.0120217419292967,0.00364046631039238,0.202184398874264,0.000482155446909866,0.0513234950769713,0
"cuat50",49000,0,0,0,0.00511607991711525,0,0,0.140943823106492,0,0,0.00814240087671055,0,0.153365446535378,0.0157647656618458,0.00112249127699591,0.00255803981282833,0,0,0.0306915503129905,0.00983861317251443,0.349353284766457,0,0,0,0.0157647656618458,0.00599038287281925,0.207530977052338,0.00112249127699591,0.0526948870522083,0
"cuat51",50000,0,0,0,0.00759962903446393,0,0,0.120981519253327,0,0,0.00379981429563912,0,0.154614323772675,0.0149089972879274,0.00183737650992971,0.00379981429563912,0,0,0.0254931054579949,0.00822649849907869,0.394109307480516,0,0,0,0.0149089972879274,0.00864337866075206,0.189400752820992,0.00183737650992971,0.0498391080992288,0
"cuat52",51000,0,0,0,0.00894854054887078,0,0,0.110357913494307,0,0,0.00553988686953276,0,0.160293893771605,0.0104012621327692,0.00227328208797362,0.00447427001020345,0,0,0.0170390054299757,0.0078118993866733,0.467727850425994,0,0,0,0.0104012621327692,0.0100128875453245,0.143782673355379,0.00227328208797362,0.038662089963168,0
"cuat53",52000,0,0,0,0.0086650707676356,0,0,0.111798838811028,0,0,0.00663425856194186,0,0.171271733655559,0.00694620528978124,0.00276618807311957,0.00433253511093797,0,0,0.00948891445777645,0.00728197658723404,0.51986177284561,0,0,0,0.00694620528978124,0.00884832391273599,0.104525409579922,0.00276618807311957,0.0278663783006293,0
"cuat54",53000,0,0,0,0.00767730462543866,0,0,0.115715682828445,0,0,0.00779024127034364,0,0.177777905849235,0.0042783145242667,0.00267394669933126,0.00383865206422565,0,0,0.00250167885360524,0.0063403311367278,0.57135192807568,0,0,0,0.0042783145242667,0.00750503677971264,0.0684654710213203,0.00267394669933126,0.0171312444245514,0
"cuat55",54000,0,0,0,0.0059191522199532,0,0,0.12763877109537,0,0,0.00870001750733886,0,0.178784773384457,0.000945425318017443,0.00218175083315607,0.00295957591476991,0,0,0.00186870061164291,0.00482827668992413,0.602109529442459,0,0,0,0.000945425318017443,0.00560610199844005,0.044415719480607,0.00218175083315607,0.0109150287558675,0
