"","YrBP","Amaranthaceae","Artemisia","Asteraceae","Caryophyllaceae","Cupressaceae","Eriogonum","Fabaceae","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Rosaceae","Sarcobatus.vermiculatus"
"natu11",10000,0.220186221012773,0.165525099741708,0.0920782301012878,0.001706877001682,0.00443686915085414,0.00539685983816032,0,0.00938942156173456,0.298191239893088,0.174393648409882,0.0193813231135874,0.00435325683810775,0.00295022815064389,0.00201072505986859
"natu12",11000,0.22516435899143,0.163952668926648,0.0920329801703894,0.00174145812517714,0.00483049647189419,0.00516809991666104,0,0.00935438269869762,0.299760645596734,0.169035268856063,0.0198315609306971,0.00443151254099467,0.00282258158890613,0.00187398503704703
"natu13",12000,0.226989293004255,0.16236564615573,0.0921871842043306,0.00180975803299924,0.00505330769827912,0.0052018545447239,0,0.00956266852240923,0.301438576605427,0.165968145534985,0.0201211988003971,0.00458778908330182,0.00284142545830182,0.0018731521695348
"natu14",13000,0.22970746378802,0.165105845546916,0.0921338287163072,0.00171360543440033,0.00517197510413518,0.00583349050886111,0,0.00924929970311856,0.280527400201264,0.181717149764253,0.0200245424511609,0.00430970330333837,0.00269409403585657,0.00181160134427806
"natu15",14000,0.224125512534217,0.179917010749627,0.0901330310044739,0.000962165195857498,0.00559216882601491,0.00655059087903894,0,0.00714056903661972,0.190182272741011,0.268705162412427,0.0201823669474731,0.00235628887241094,0.00239745437961889,0.0017554067990058
"natu16",15000,0.199706198162246,0.190329870445034,0.091557420617595,0,0.00675506085455349,0.00651758472546419,0,0.00447334839345712,0.101968898755379,0.374559578754937,0.0200062591472149,0,0.00240150479428235,0.00172427611066902
"natu17",16000,0.19482814420695,0.1876972468689,0.0913727877636924,0,0.006717201140437,0.00598776381990567,0,0.00515840977938204,0.0971747448154779,0.386878916001636,0.0198956478944075,0,0.00252590812724998,0.00176323021339879
"natu18",17000,0.196402222394279,0.185385217687891,0.091500748013546,3.42695375094547e-05,0.00662763395778037,0.00598168252609503,0,0.00528263055751908,0.0973392656256618,0.387057390367531,0.0201175425482363,0,0.00252252557367806,0.00174887173011071
"natu19",18000,0.196311915538183,0.182068661083667,0.0938319375712874,0.000205030353225364,0.00650910592950865,0.00614520073944551,1.43697496568762e-05,0.00519265702421082,0.095359416964919,0.388870535930881,0.0209318244781224,0,0.00267986559088663,0.00187947937913807
"natu20",19000,0.193821043127861,0.182318399159714,0.103278768373967,0.000349119741773927,0.00601177910261932,0.00613223029398508,0.000196004559172635,0.00494775870195823,0.0900687933441679,0.38644369379972,0.0221297906501227,0,0.00252138780738218,0.00178123144603596
"natu21",20000,0.193485568196302,0.197151788604786,0.113155752943427,0.000451482655874027,0.00429318967799009,0.00596378888167905,0.000468732972089526,0.00426972592458422,0.0848278043723018,0.36857989146227,0.0234432188826964,0,0.00194196568683652,0.00196708966264154
"natu22",21000,0.211183323651114,0.225360764390095,0.12406314545406,0.000529169013760482,0.00285249767773955,0.00547079806643733,0.000828998528380993,0.0029247466029886,0.0719583866513653,0.327433476560095,0.0236526330496667,0,0.0014515307191285,0.00229052949519817
"natu23",22000,0.249495728653243,0.260784635170684,0.129457755611233,0.000538464853494522,0.00158645873806825,0.00446444277023045,0.00134416602495907,0.00168004013859715,0.0562965024576754,0.268320835016522,0.0229773899722453,0,0.00093268123379927,0.00212089926752298
"natu24",23000,0.28211420654704,0.289349999327307,0.130797334070684,0.000546976496746667,0.000856849204995556,0.00350920851486222,0.00158727614295111,0.000983513703146667,0.0454144272730133,0.219727613921102,0.0226727065957511,0,0.000584273039342222,0.00185561509790222
"natu25",24000,0.304187248589139,0.306733165351923,0.128620314870939,0.000632327130646106,0.000520882322134335,0.00289663706077554,0.00157689075257004,0.000629859071388623,0.0401368472698812,0.189552081335331,0.0222116205680862,0,0.000605727044809311,0.00169639855560882
"natu26",25000,0.323837649408793,0.319405704327753,0.127540724206793,0.000772302433665988,0.000458030410205064,0.00232328076616768,0.00156572764425623,0.000578188082507167,0.0351291878341103,0.164435624207132,0.0218485801666448,0,0.000692557896220428,0.00141244255478957
"natu27",26000,0.337167525446188,0.328803190216355,0.12633142751172,0.000891619628111317,0.000328765632813189,0.0018659875338094,0.0016172852209488,0.000615763898517931,0.0321550783865233,0.146282632035421,0.022115147052661,0,0.000751206215326143,0.00107437115707191
"natu28",27000,0.344262470811476,0.336148291577681,0.126685680106043,0.00107659147512793,0.000233780347861875,0.00151514323959697,0.0015302455291265,0.000722804178150661,0.0308411680810921,0.132223688857967,0.0229895695239894,0,0.000906791658286723,0.00086377447550478
"natu29",28000,0.347432703787741,0.341714369842864,0.127629649859965,0.00128957953686931,0.000154250617147377,0.00122176366150864,0.00146343661826142,0.000900178653030759,0.0310221330572173,0.121724123533004,0.0236803790795651,0,0.00112569353948732,0.000641737999086483
"natu30",29000,0.349234274276418,0.347366725437891,0.129803806584622,0.00147292771688101,9.76374867605253e-05,0.00102532081540544,0.00167038333840531,0.00120973296439691,0.0315608125992825,0.110320775733681,0.0246099436814539,0,0.00121299227009611,0.000414666832340598
"natu31",30000,0.345742964736123,0.35117473916931,0.132467646595325,0.00156857664259978,1.47460626446885e-05,0.00105981496337749,0.00217036764146838,0.00121478073473047,0.0326818350527754,0.104537939814746,0.0257409138661816,0,0.00133400551433395,0.000291668843275139
"natu32",31000,0.335650743097402,0.35512068168177,0.137947729095149,0.00178074219684498,0,0.00127272422042462,0.00275276016994425,0.00122036728717827,0.0350048224175305,0.101206553423366,0.0262215354349899,0,0.00150291243752817,0.000318428008895742
"natu33",32000,0.322771838391398,0.35999956460883,0.14192594778074,0.00188237071596397,0,0.00169538676954706,0.00391379294648218,0.00108010697007571,0.036649428085759,0.10358946113324,0.0246145326146064,0,0.00148825993166688,0.000389309450691816
"natu34",33000,0.314346791827395,0.36356941827804,0.143310944774552,0.00174198711115753,0,0.00248740393270396,0.0055681411378086,0.000665710966372864,0.0353602482906136,0.108319545615606,0.0227038169055516,0,0.00128839786879151,0.000637592706754668
"natu35",34000,0.308856914080627,0.364629667392913,0.141326731261648,0.0016616435464875,0,0.00303421621661305,0.00640968334014735,0,0.032749019590744,0.11876954308649,0.0205678481624987,0,0.00123014496041299,0.000764587796669088
"natu36",35000,0.305816760212169,0.366686398517719,0.13608452202521,0.001762218255065,0,0.00341870721038738,0.00636957498482149,0,0.0330917395882004,0.126447852991091,0.0185555749844915,0,0.00101410456741239,0.000752546175212829
"natu37",36000,0.314975679816594,0.367622882641572,0.12451827766524,0.00146261914576419,0,0.00404854648349345,0.00645602501292576,0,0.0322044506641921,0.129729492017031,0.0175169078221834,0,0.000760314979039301,0.000704803422969432
