depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
2445,211566.8,4.075,,,1020C 3H-6 147
2448,211909.5,,10.71,0.403,1020C 3H-7 0
2465,213851.3,4.04,,,1020C 3H-7 17
2472,214565.1,,12.027,0.448,1020D 3H-3 24
2473,214765.1,,12.179,0.453,1020C 3H-7 25
2484,216021.6,3.65,,,1020D 3H-3 37
2485,216135.8,3.9,,,1020C 3H-7 37
2497,217186.3,,11.956,0.446,1020C 3H-7 50
2499,217356.5,,11.633,0.435,1020D 3H-3 50
2505,217867.3,4.01,,,1020C 3H-7 57
2522,219314.3,,6.742,0.268,1020D 3H-3 74
2524,219484.5,4.15,,,1020D 3H-3 77
2525,219569.6,4.13,,,1020C 3H-7 77
2536,220506,4.245,,,1020Cc 3H-CC 7
2548,221527.4,,6.939,0.275,1020D 3H-3 100
2572,223602.8,,6.446,0.258,1020D 3H-3 124
2584,224819.4,4.49,,,1020D 3H-3 137
2592,225630.6,,6.187,0.249,1020D 3H-3 144
2598,226238.9,,6.776,0.269,1020D 3H-4 0
2604,226847.2,4.26,,,1020C 4H-1 17
2622,228672.2,,6.055,0.245,1020D 3H-4 24
2623,228773.6,4.355,,,1020C 4H-1 36
2640,230497.2,4.32,,,1020D 3H-4 47
2640,230497.2,,7.086,0.28,1020D 3H-4 50
2644,230902.8,4.15,,,1020C 4H-1 57
2650,231511.1,4.3,,,1020D 3H-4 67
2655,232018.1,,6.245,0.251,1020D 3H-4 74
2664,232930.6,4.36,,,1020C 4H-1 77
2665,233031.9,4.37,,,1020D 3H-4 87
2672,233741.7,,6.773,0.269,1020D 3H-4 100
2677.5,234299.3,4.21,,,1020D 3H-4 107
2684,234958.3,4.1,,,1020C 4H-1 97
2687,235262.5,,8.587,0.331,1020D 3H-4 124
2690,235566.7,3.973,,,1020D 3H-4 127
2700,236580.6,,9.906,0.376,1020D 3H-4 144
2702.5,236834,3.75,,,1020D 3H-4 147
2704,236986.1,3.89,,,1020C 4H-1 117
2705,237087.5,,10.539,0.397,1020D 3H-5 0
2711,237695.8,,11.655,0.435,1020C 4H-1 125
2714,238000,3.923,,,1020D 3H-5 17
2720,238857.1,3.65,,,1020D 3H-5 37
2724,239428.6,,,,1020C 4H-1 137
2737,241285.7,,8.521,0.329,1020C 4H-2 0
2744,242285.7,3.97,,,1020C 4H-2 7
